location,source,target
0x453b60@mhfdat-jp.bin,装備無し,Nothing Equipped
0x453b64@mhfdat-jp.bin,レザーライトアーム,Leather Arms
0x453b68@mhfdat-jp.bin,チェーンアーム,Chainmail Arms
0x453b6c@mhfdat-jp.bin,ハンターアーム,Hunter's Arms
0x453b70@mhfdat-jp.bin,ハンターガード,Hunter's Guard
0x453b74@mhfdat-jp.bin,ボーンアーム,Bone Arms
0x453b78@mhfdat-jp.bin,ボーンガード,Bone Guard
0x453b7c@mhfdat-jp.bin,ランポスアーム,Veloci Arms
0x453b80@mhfdat-jp.bin,ランポスガード,Veloci Guard
0x453b84@mhfdat-jp.bin,バトルアーム,Battle Arms
0x453b88@mhfdat-jp.bin,バトルガード,Battle Guard
0x453b8c@mhfdat-jp.bin,ランゴアーム,Vespoid Arms
0x453b90@mhfdat-jp.bin,ランゴガード,Vespoid Guard
0x453b94@mhfdat-jp.bin,タロスアーム,Hornetaur Arms
0x453b98@mhfdat-jp.bin,タロスガード,Hornetaur Guard
0x453b9c@mhfdat-jp.bin,ハイメタアーム,High Metal Arms
0x453ba0@mhfdat-jp.bin,ハイメタガード,High Metal Guard
0x453ba4@mhfdat-jp.bin,ゲネポスアーム,Gen Arms
0x453ba8@mhfdat-jp.bin,ゲネポスガード,Gen Guard
0x453bac@mhfdat-jp.bin,クックアーム,Kut-Ku Arms
0x453bb0@mhfdat-jp.bin,クックガード,Kut-Ku Guard
0x453bb4@mhfdat-jp.bin,イーオスアーム,Io Arms
0x453bb8@mhfdat-jp.bin,イーオスガード,Io Guard
0x453bbc@mhfdat-jp.bin,ゲリョスアーム,Gypceros Arms
0x453bc0@mhfdat-jp.bin,ゲリョスガード,Gypceros Guard
0x453bc4@mhfdat-jp.bin,ガレオスアーム,Cepha Arms
0x453bc8@mhfdat-jp.bin,ガレオスガード,Cepha Guard
0x453bcc@mhfdat-jp.bin,スティールアーム,Steel Arms
0x453bd0@mhfdat-jp.bin,レイアアーム,Rathian Arms
0x453bd4@mhfdat-jp.bin,レイアガード,Rathian Guard
0x453bd8@mhfdat-jp.bin,フルフルアーム,Khezu Arms
0x453bdc@mhfdat-jp.bin,フルフルガード,Khezu Guard
0x453be0@mhfdat-jp.bin,レウスアーム,Rathalos Arms
0x453be4@mhfdat-jp.bin,レウスガード,Rathalos Guard
0x453be8@mhfdat-jp.bin,ガノスアーム,Plesioth Arms
0x453bec@mhfdat-jp.bin,ガノスガード,Plesioth Guard
0x453bf0@mhfdat-jp.bin,キングロブスタアーム,King Lobster Arms
0x453bf4@mhfdat-jp.bin,キングロブスタガード,King Lobster Guard
0x453bf8@mhfdat-jp.bin,バサルアーム,Basarios Arms
0x453bfc@mhfdat-jp.bin,バサルガード,Basarios Guard
0x453c00@mhfdat-jp.bin,ディアブロアーム,Diablos Arms
0x453c04@mhfdat-jp.bin,ディアブロガード,Diablos Guard
0x453c08@mhfdat-jp.bin,モノブロスアーム,Monoblos Arms
0x453c0c@mhfdat-jp.bin,モノブロスガード,Monoblos Guard
0x453c10@mhfdat-jp.bin,グラビドアーム,Gravios Arms
0x453c14@mhfdat-jp.bin,グラビドガード,Gravios Guard
0x453c18@mhfdat-jp.bin,クロオビアーム,Black Belt Arms
0x453c1c@mhfdat-jp.bin,モスパンチ,Mosswine Punch
0x453c20@mhfdat-jp.bin,マカルパスリーブ,Makluva Sleeve
0x453c24@mhfdat-jp.bin,ランポスーツハンド,Veloci Hands
0x453c28@mhfdat-jp.bin,ゲネポスーツハンド,Gen Hands
0x453c2c@mhfdat-jp.bin,イーオスーツハンド,Io Hands
