location,source,target
0x460da0@mhfdat-jp.bin,装備無し,Nothing Equipped
0x460da4@mhfdat-jp.bin,レザーライトメイル,Leather Mail
0x460da8@mhfdat-jp.bin,チェーンメイル,Chainmail Mail
0x460dac@mhfdat-jp.bin,ハンターメイル,Hunter's Mail
0x460db0@mhfdat-jp.bin,ハンターレジスト,Hunter's Vest
0x460db4@mhfdat-jp.bin,ボーンメイル,Bone Mail
0x460db8@mhfdat-jp.bin,ボーンレジスト,Bone Vest
0x460dbc@mhfdat-jp.bin,ランポスメイル,Veloci Mail
0x460dc0@mhfdat-jp.bin,ランポスレジスト,Veloci Vest
0x460dc4@mhfdat-jp.bin,バトルメイル,Battle Mail
0x460dc8@mhfdat-jp.bin,バトルレジスト,Battle Vest
0x460dcc@mhfdat-jp.bin,ランゴメイル,Vespoid Mail
0x460dd0@mhfdat-jp.bin,ランゴレジスト,Vespoid Vest
0x460dd4@mhfdat-jp.bin,タロスメイル,Hornetaur Mail
0x460dd8@mhfdat-jp.bin,タロスレジスト,Hornetaur Vest
0x460ddc@mhfdat-jp.bin,ハイメタメイル,High Metal Mail
0x460de0@mhfdat-jp.bin,ハイメタレジスト,High Metal Vest
0x460de4@mhfdat-jp.bin,ゲネポスメイル,Gen Mail
0x460de8@mhfdat-jp.bin,ゲネポスレジスト,Gen Vest
0x460dec@mhfdat-jp.bin,クックメイル,Kut-Ku Mail
0x460df0@mhfdat-jp.bin,クックレジスト,Kut-Ku Vest
0x460df4@mhfdat-jp.bin,イーオスメイル,Io Mail
0x460df8@mhfdat-jp.bin,イーオスレジスト,Io Vest
0x460dfc@mhfdat-jp.bin,ゲリョスメイル,Gypceros Mail
0x460e00@mhfdat-jp.bin,ゲリョスレジスト,Gypceros Vest
0x460e04@mhfdat-jp.bin,ガレオスメイル,Cepha Mail
0x460e08@mhfdat-jp.bin,ガレオスレジスト,Cepha Vest
0x460e0c@mhfdat-jp.bin,スティールメイル,Steel Mail
0x460e10@mhfdat-jp.bin,レイアメイル,Rathian Mail
0x460e14@mhfdat-jp.bin,レイアレジスト,Rathian Vest
0x460e18@mhfdat-jp.bin,フルフルメイル,Khezu Mail
0x460e1c@mhfdat-jp.bin,フルフルレジスト,Khezu Vest
0x460e20@mhfdat-jp.bin,レウスメイル,Rathalos Mail
0x460e24@mhfdat-jp.bin,レウスレジスト,Rathalos Vest
0x460e28@mhfdat-jp.bin,ガノスメイル,Plesioth Mail
0x460e2c@mhfdat-jp.bin,ガノスレジスト,Plesioth Vest
0x460e30@mhfdat-jp.bin,キングロブスタシェル,King Lobster Shell
0x460e34@mhfdat-jp.bin,キングロブスタスキン,King Lobster Skin
0x460e38@mhfdat-jp.bin,バサルメイル,Basarios Mail
0x460e3c@mhfdat-jp.bin,バサルレジスト,Basarios Vest
