location,source,target
0x46e000@mhfdat-jp.bin,装備無し,Nothing Equipped
0x46e004@mhfdat-jp.bin,レザーライトヘルム,Leather Helm
0x46e008@mhfdat-jp.bin,チェーンヘルム,Chainmail Helm
0x46e00c@mhfdat-jp.bin,ハンターヘルム,Hunter's Helm
0x46e010@mhfdat-jp.bin,ハンターキャップ,Hunter's Cap
0x46e014@mhfdat-jp.bin,ボーンヘルム,Bone Helm
0x46e018@mhfdat-jp.bin,ボーンキャップ,Bone Cap
0x46e01c@mhfdat-jp.bin,ランポスヘルム,Veloci Helm
0x46e020@mhfdat-jp.bin,ランポスキャップ,Veloci Cap
0x46e024@mhfdat-jp.bin,バトルヘルム,Battle Helm
0x46e028@mhfdat-jp.bin,バトルキャップ,Battle Cap
0x46e02c@mhfdat-jp.bin,ランゴヘルム,Vespoid Helm
0x46e030@mhfdat-jp.bin,ランゴキャップ,Vespoid Cap
0x46e034@mhfdat-jp.bin,タロスヘルム,Hornetaur Helm
0x46e038@mhfdat-jp.bin,タロスキャップ,Hornetaur Cap
0x46e03c@mhfdat-jp.bin,ハイメタヘルム,High Metal Helm
0x46e040@mhfdat-jp.bin,ハイメタキャップ,High Metal Cap
0x46e044@mhfdat-jp.bin,ゲネポスヘルム,Gen Helm
0x46e048@mhfdat-jp.bin,ゲネポスキャップ,Gen Cap
0x46e04c@mhfdat-jp.bin,イーオスヘルム,Io Helm
0x46e050@mhfdat-jp.bin,イーオスキャップ,Io Cap
0x46e054@mhfdat-jp.bin,ゲリョスヘルム,Gypceros Helm
0x46e058@mhfdat-jp.bin,ゲリョスキャップ,Gypceros Cap
0x46e05c@mhfdat-jp.bin,ガレオスヘルム,Cepha Helm
0x46e060@mhfdat-jp.bin,ガレオスキャップ,Cepha Cap
0x46e064@mhfdat-jp.bin,レイアヘルム,Rathian Helm
0x46e068@mhfdat-jp.bin,レイアキャップ,Rathian Cap
0x46e06c@mhfdat-jp.bin,フルフルヘルム,Khezu Helm
0x46e070@mhfdat-jp.bin,フルフルキャップ,Khezu Cap
0x46e074@mhfdat-jp.bin,レウスヘルム,Rathalos Helm
0x46e078@mhfdat-jp.bin,レウスキャップ,Rathalos Cap
0x46e07c@mhfdat-jp.bin,ガノスヘルム,Plesioth Helm
0x46e080@mhfdat-jp.bin,ガノスキャップ,Plesioth Cap
0x46e084@mhfdat-jp.bin,キングロブスタヘルム,King Lobster Helm
0x46e088@mhfdat-jp.bin,バサルヘルム,Basarios Helm
0x46e08c@mhfdat-jp.bin,バサルキャップ,Basarios Cap
0x46e090@mhfdat-jp.bin,ディアブロヘルム,Diablos Helm
0x46e094@mhfdat-jp.bin,ディアブロキャップ,Diablos Cap
0x46e098@mhfdat-jp.bin,モノブロスヘルム,Monoblos Helm
0x46e09c@mhfdat-jp.bin,モノブロスキャップ,Monoblos Cap
0x46e0a0@mhfdat-jp.bin,グラビドヘルム,Gravios Helm
0x46e0a4@mhfdat-jp.bin,グラビドキャップ,Gravios Cap
0x46e0a8@mhfdat-jp.bin,クロオビヘルム,Black Belt Helm
0x46e0ac@mhfdat-jp.bin,モスフェイク,Mosswine Mask
0x46e0b0@mhfdat-jp.bin,アイルーフェイク,Felyne Mask
0x46e0b4@mhfdat-jp.bin,混沌のパオ,Chaoshroom
0x46e0b8@mhfdat-jp.bin,メルホアフロール,Melahoa Vizor
0x46e0bc@mhfdat-jp.bin,マカルパフード,Makluva Hood
0x46e0c0@mhfdat-jp.bin,ビストロキャップ,Bistro Cap
0x46e0c4@mhfdat-jp.bin,ランポスフェイク,Veloci Mask
0x46e0c8@mhfdat-jp.bin,ゲネポスフェイク,Gen Mask
0x46e0cc@mhfdat-jp.bin,イーオスフェイク,Io Mask
0x46e0d0@mhfdat-jp.bin,ブルファンゴフェイク,Bullfango Mask
0x46e0d4@mhfdat-jp.bin,レッドピアス,Red Piercing
0x46e0d8@mhfdat-jp.bin,ブルーピアス,Blue Piercing
0x46e0dc@mhfdat-jp.bin,イエローピアス,Yellow Piercing
0x46e0e0@mhfdat-jp.bin,ブラックピアス,Black Piercing
0x46e0e4@mhfdat-jp.bin,忍の面・陽,Solar Shinobi Mask
0x46e0e8@mhfdat-jp.bin,忍の面・陰,Shadow Shinobi Mask
0x46e0ec@mhfdat-jp.bin,ガーディアンヘルム,Guardian Helm
0x46e0f0@mhfdat-jp.bin,ガーディアンマスク,Guardian Mask
0x46e0f4@mhfdat-jp.bin,ヘルパーフード,Helper Hood
0x46e0f8@mhfdat-jp.bin,ヒーラーグラス,Healer Glasses
0x46e0fc@mhfdat-jp.bin,スカルフェイス,Skull Face
0x46e100@mhfdat-jp.bin,ガルルガヘルム,Garuga Helm
0x46e104@mhfdat-jp.bin,ガルルガキャップ,Garuga Cap
0x46e108@mhfdat-jp.bin,ガルルガフェイク,Garuga Mask
0x46e10c@mhfdat-jp.bin,暁丸【兜】,Auroros Helm
0x46e110@mhfdat-jp.bin,曙丸【烏帽子】,Genesis Headpiece
0x46e114@mhfdat-jp.bin,凛【鉢金】,Borealis Crown
0x46e118@mhfdat-jp.bin,艶【鉢金】,Glyph Crown
0x46e11c@mhfdat-jp.bin,ドラゴンヘッド,Dragon Head
0x46e120@mhfdat-jp.bin,ドラゴンフェイス,Dragon Face
0x46e124@mhfdat-jp.bin,レザーライトＵヘルム,Leather U Helm
0x46e128@mhfdat-jp.bin,チェーンＵヘルム,Chainmail U Helm
0x46e12c@mhfdat-jp.bin,ハンターＵヘルム,Hunter's U Helm
0x46e130@mhfdat-jp.bin,ハンターＵキャップ,Hunter's U Cap
0x46e134@mhfdat-jp.bin,ボーンＵヘルム,Bone U Helm
0x46e138@mhfdat-jp.bin,ボーンＵキャップ,Bone U Cap
0x46e13c@mhfdat-jp.bin,ギアノスヘルム,Gia Helm
0x46e140@mhfdat-jp.bin,ギアノスキャップ,Gia Cap
0x46e144@mhfdat-jp.bin,バトルＵヘルム,Battle U Helm
0x46e148@mhfdat-jp.bin,バトルＵキャップ,Battle U Cap
0x46e14c@mhfdat-jp.bin,ランゴＵヘルム,Vespoid U Helm
0x46e150@mhfdat-jp.bin,ランゴＵキャップ,Vespoid U Cap
0x46e154@mhfdat-jp.bin,タロスＵヘルム,Hornetaur U Helm
0x46e158@mhfdat-jp.bin,タロスＵキャップ,Hornetaur U Cap
0x46e15c@mhfdat-jp.bin,ハイメタＵヘルム,High Metal U Helm
0x46e160@mhfdat-jp.bin,ハイメタＵキャップ,High Metal U Cap
0x46e164@mhfdat-jp.bin,ゲネポスＵヘルム,Gen U Helm
0x46e168@mhfdat-jp.bin,ゲネポスＵキャップ,Gen U Cap
0x46e16c@mhfdat-jp.bin,イーオスＵヘルム,Io U Helm
0x46e170@mhfdat-jp.bin,イーオスＵキャップ,Io U Cap
0x46e174@mhfdat-jp.bin,ゲリョスＵヘルム,Gypceros U Helm
0x46e178@mhfdat-jp.bin,ゲリョスＵキャップ,Gypceros U Cap
0x46e17c@mhfdat-jp.bin,ガレオスＵヘルム,Cepha U Helm
0x46e180@mhfdat-jp.bin,ガレオスＵキャップ,Cepha U Cap
0x46e184@mhfdat-jp.bin,リオハートヘルム,Rath Heart Helm
0x46e188@mhfdat-jp.bin,リオハートキャップ,Rath Heart Cap
0x46e18c@mhfdat-jp.bin,フルフルＵヘルム,Khezu U Helm
0x46e190@mhfdat-jp.bin,フルフルＵキャップ,Khezu U Cap
0x46e194@mhfdat-jp.bin,リオソウルヘルム,Rath Soul Helm
0x46e198@mhfdat-jp.bin,リオソウルキャップ,Rath Soul Cap
0x46e19c@mhfdat-jp.bin,ガノスＵヘルム,Plesioth U Helm
0x46e1a0@mhfdat-jp.bin,ガノスＵキャップ,Plesioth U Cap
0x46e1a4@mhfdat-jp.bin,バサルＵヘルム,Basarios U Helm
0x46e1a8@mhfdat-jp.bin,バサルＵキャップ,Basarios U Cap
0x46e1ac@mhfdat-jp.bin,ディアブロＵヘルム,Diablos U Helm
0x46e1b0@mhfdat-jp.bin,ディアブロＵキャップ,Diablos U Cap
0x46e1b4@mhfdat-jp.bin,モノデビルヘルム,Monodevil Helm
0x46e1b8@mhfdat-jp.bin,モノデビルキャップ,Monodevil Cap
0x46e1bc@mhfdat-jp.bin,グラビドＵヘルム,Gravios U Helm
0x46e1c0@mhfdat-jp.bin,グラビドＵキャップ,Gravios U Cap
0x46e1c4@mhfdat-jp.bin,忍の面・空,Shinobi Mask・Sky
0x46e1c8@mhfdat-jp.bin,忍の面・海,Shinobi Mask・Sea
0x46e1cc@mhfdat-jp.bin,ガーディアンＵヘルム,Guardian U Helm
0x46e1d0@mhfdat-jp.bin,ガーディアンＵマスク,Guardian U Mask
0x46e1d4@mhfdat-jp.bin,ヘルパーＵフード,Helper U Hood
0x46e1d8@mhfdat-jp.bin,ヒーラーＵベレー,Healer U Beret
0x46e1dc@mhfdat-jp.bin,暁丸・皇【兜】,Emperor Auroros Helm
0x46e1e0@mhfdat-jp.bin,曙丸・皇【烏帽子】,Emperor Genesis Helm
0x46e1e4@mhfdat-jp.bin,凛・皇【鉢金】,Emprr Borealis Crown
0x46e1e8@mhfdat-jp.bin,艶・皇【鉢金】,Emperor Glyph Crown
0x46e1ec@mhfdat-jp.bin,ミラバルカンヘッド,Fatalis Head
0x46e1f0@mhfdat-jp.bin,ミラバルカンフェイス,Fatalis Face
0x46e1f4@mhfdat-jp.bin,ゴールドルナヘルム,Golden Moon Helm
0x46e1f8@mhfdat-jp.bin,ゴールドルナキャップ,Golden Moon Cap
0x46e1fc@mhfdat-jp.bin,シルバーソルヘルム,Silver Sol Helm
0x46e200@mhfdat-jp.bin,シルバーソルキャップ,Silver Sol Cap
0x46e204@mhfdat-jp.bin,レザーライトＳヘルム,Leather S Helm
0x46e208@mhfdat-jp.bin,チェーンＳヘルム,Chainmail S Helm
0x46e20c@mhfdat-jp.bin,ハンターＳヘルム,Hunter's S Helm
0x46e210@mhfdat-jp.bin,ハンターＳキャップ,Hunter's S Cap
0x46e214@mhfdat-jp.bin,ボーンＳヘルム,Bone S Helm
0x46e218@mhfdat-jp.bin,ボーンＳキャップ,Bone S Cap
0x46e21c@mhfdat-jp.bin,ランポスＳヘルム,Veloci S Helm
0x46e220@mhfdat-jp.bin,ランポスＳキャップ,Veloci S Cap
0x46e224@mhfdat-jp.bin,バトルＳヘルム,Battle S Helm
0x46e228@mhfdat-jp.bin,バトルＳキャップ,Battle S Cap
0x46e22c@mhfdat-jp.bin,ランゴＳヘルム,Vespoid S Helm
0x46e230@mhfdat-jp.bin,ランゴＳキャップ,Vespoid S Cap
0x46e234@mhfdat-jp.bin,タロスＳヘルム,Hornetaur S Helm
0x46e238@mhfdat-jp.bin,タロスＳキャップ,Hornetaur S Cap
0x46e23c@mhfdat-jp.bin,ハイメタＳヘルム,High Metal S Helm
0x46e240@mhfdat-jp.bin,ハイメタＳキャップ,High Metal S Cap
0x46e244@mhfdat-jp.bin,ゲネポスＳヘルム,Gen S Helm
0x46e248@mhfdat-jp.bin,ゲネポスＳキャップ,Gen S Cap
0x46e24c@mhfdat-jp.bin,クックＳヘルム,Kut-Ku S Helm
0x46e250@mhfdat-jp.bin,クックＳキャップ,Kut-Ku S Cap
0x46e254@mhfdat-jp.bin,イーオスＳヘルム,Io S Helm
0x46e258@mhfdat-jp.bin,イーオスＳキャップ,Io S Cap
0x46e25c@mhfdat-jp.bin,ゲリョスＳヘルム,Gypceros S Helm
0x46e260@mhfdat-jp.bin,ゲリョスＳキャップ,Gypceros S Cap
0x46e264@mhfdat-jp.bin,ガレオスＳヘルム,Cepha S Helm
0x46e268@mhfdat-jp.bin,ガレオスＳキャップ,Cepha S Cap
0x46e26c@mhfdat-jp.bin,レイアＳヘルム,Rathian S Helm
0x46e270@mhfdat-jp.bin,レイアＳキャップ,Rathian S Cap
0x46e274@mhfdat-jp.bin,フルフルＳヘルム,Khezu S Helm
