location,source,target
0x4391e0@mhfdat-jp.bin,装備無し,Nothing Equipped
0x4391e4@mhfdat-jp.bin,グリーンジャージー,Green Jersey
0x4391e8@mhfdat-jp.bin,ブルージャージー,Blue Jersey
0x4391ec@mhfdat-jp.bin,ハンターグリーヴ,Hunter's Greaves
0x4391f0@mhfdat-jp.bin,ハンターレギンス,Hunter's Leggings
0x4391f4@mhfdat-jp.bin,ボーングリーヴ,Bone Greaves
0x4391f8@mhfdat-jp.bin,ボーンレギンス,Bone Leggings
0x4391fc@mhfdat-jp.bin,ランポスグリーヴ,Veloci Greaves
0x439200@mhfdat-jp.bin,ランポスレギンス,Veloci Leggings
0x439204@mhfdat-jp.bin,バトルグリーヴ,Battle Greaves
0x439208@mhfdat-jp.bin,バトルレギンス,Battle Leggings
0x43920c@mhfdat-jp.bin,シルバーメタルブーツ,Silver Metal Boots
0x439210@mhfdat-jp.bin,ランゴグリーヴ,Vespoid Greaves
0x439214@mhfdat-jp.bin,ランゴレギンス,Vespoid Leggings
0x439218@mhfdat-jp.bin,タロスグリーヴ,Hornetaur Greaves
0x43921c@mhfdat-jp.bin,タロスレギンス,Hornetaur Leggings
0x439220@mhfdat-jp.bin,ハイメタグリーヴ,High Metal Greaves
0x439224@mhfdat-jp.bin,ハイメタレギンス,High Metal Leggings
0x439228@mhfdat-jp.bin,ダークメタルブーツ,Dark Metal Boots
0x43922c@mhfdat-jp.bin,ゲネポスグリーヴ,Gen Greaves
0x439230@mhfdat-jp.bin,ゲネポスレギンス,Gen Leggings
0x439234@mhfdat-jp.bin,ピンクメタルブーツ,Pink Metal Boots
0x439238@mhfdat-jp.bin,クロムメタルブーツ,Chrome Metal Boots
0x43923c@mhfdat-jp.bin,イーオスグリーヴ,Io Greaves
0x439240@mhfdat-jp.bin,イーオスレギンス,Io Leggings
0x439244@mhfdat-jp.bin,ゲリョスグリーヴ,Gypceros Greaves
0x439248@mhfdat-jp.bin,ゲリョスレギンス,Gypceros Leggings
0x43924c@mhfdat-jp.bin,ガレオスグリーヴ,Cepha Greaves
0x439250@mhfdat-jp.bin,ガレオスレギンス,Cepha Leggings
0x439254@mhfdat-jp.bin,レイアグリーヴ,Rathian Greaves
0x439258@mhfdat-jp.bin,レイアレギンス,Rathian Leggings
0x43925c@mhfdat-jp.bin,フルフルグリーヴ,Khezu Greaves
0x439260@mhfdat-jp.bin,フルフルレギンス,Khezu Leggings
0x439264@mhfdat-jp.bin,レウスグリーヴ,Rathalos Greaves
0x439268@mhfdat-jp.bin,レウスレギンス,Rathalos Leggings
0x43926c@mhfdat-jp.bin,ガノスグリーヴ,Plesioth Greaves
0x439270@mhfdat-jp.bin,ガノスレギンス,Plesioth Leggings
0x439274@mhfdat-jp.bin,バサルグリーヴ,Basarios Greaves
0x439278@mhfdat-jp.bin,バサルレギンス,Basarios Leggings
0x43927c@mhfdat-jp.bin,ディアブログリーヴ,Diablos Greaves
0x439280@mhfdat-jp.bin,ディアブロレギンス,Diablos Leggings
0x439284@mhfdat-jp.bin,モノブロスグリーヴ,Monoblos Greaves
0x439288@mhfdat-jp.bin,モノブロスレギンス,Monoblos Leggings
0x43928c@mhfdat-jp.bin,グラビドグリーヴ,Gravios Greaves
0x439290@mhfdat-jp.bin,グラビドレギンス,Gravios Leggings
0x439294@mhfdat-jp.bin,クロオビグリーヴ,Black Belt Greaves
0x439298@mhfdat-jp.bin,モスフット,Mosswine Feet
0x43929c@mhfdat-jp.bin,ランポスーツフット,Veloci ーツ Feet
0x4392a0@mhfdat-jp.bin,ゲネポスーツフット,Gen ーツ Feet
0x4392a4@mhfdat-jp.bin,イーオスーツフット,Io ーツ Feet
0x4392a8@mhfdat-jp.bin,忍の足袋・陽,忍の Tabi・陽
0x4392ac@mhfdat-jp.bin,忍の足袋・陰,忍の Tabi・陰
0x4392b0@mhfdat-jp.bin,ガーディアンブーツ,Guardian Boots
0x4392b4@mhfdat-jp.bin,ガーディアンフット,Guardian Feet
0x4392b8@mhfdat-jp.bin,ヘルパーソックス,Helper Socks
0x4392bc@mhfdat-jp.bin,ヒーラーソックス,Healer Socks
0x4392c0@mhfdat-jp.bin,ガルルガグリーヴ,Garuga Greaves
0x4392c4@mhfdat-jp.bin,ガルルガレギンス,Garuga Leggings
0x4392c8@mhfdat-jp.bin,暁丸【具足】,暁丸【Greaves】
0x4392cc@mhfdat-jp.bin,曙丸【具足】,曙丸【Greaves】
0x4392d0@mhfdat-jp.bin,凛【袴】,凛【 Hakama 】
0x4392d4@mhfdat-jp.bin,艶【袴】,艶【 Hakama 】
0x4392d8@mhfdat-jp.bin,紅凛【袴】,Crimson 凛【 Hakama 】
0x4392dc@mhfdat-jp.bin,紅艶【袴】,Crimson 艶【 Hakama 】
0x4392e0@mhfdat-jp.bin,ドラゴンフット,Dragon Feet
0x4392e4@mhfdat-jp.bin,ドラゴンレグス,Dragon Legs
0x4392e8@mhfdat-jp.bin,クリームジャージー,クリーム Jersey
0x4392ec@mhfdat-jp.bin,コーヒージャージー,コーヒー Jersey
0x4392f0@mhfdat-jp.bin,ハンターＵグリーヴ,Hunter's U Greaves
0x4392f4@mhfdat-jp.bin,ハンターＵレギンス,Hunter's U Leggings
0x4392f8@mhfdat-jp.bin,ボーンＵグリーヴ,Bone U Greaves
0x4392fc@mhfdat-jp.bin,ボーンＵレギンス,Bone U Leggings
0x439300@mhfdat-jp.bin,ギアノスグリーヴ,Gia Greaves
0x439304@mhfdat-jp.bin,ギアノスレギンス,Gia Leggings
0x439308@mhfdat-jp.bin,バトルＵグリーヴ,Battle U Greaves
0x43930c@mhfdat-jp.bin,バトルＵレギンス,Battle U Leggings
0x439310@mhfdat-jp.bin,ランゴＵグリーヴ,Vespoid U Greaves
0x439314@mhfdat-jp.bin,ランゴＵレギンス,Vespoid U Leggings
0x439318@mhfdat-jp.bin,タロスＵグリーヴ,Hornetaur U Greaves
0x43931c@mhfdat-jp.bin,タロスＵレギンス,Hornetaur U Leggings
0x439320@mhfdat-jp.bin,ハイメタＵグリーヴ,High Metal U Greaves
0x439324@mhfdat-jp.bin,ハイメタＵレギンス,High Metal U Leggings
0x439328@mhfdat-jp.bin,ゲネポスＵグリーヴ,Gen U Greaves
0x43932c@mhfdat-jp.bin,ゲネポスＵレギンス,Gen U Leggings
0x439330@mhfdat-jp.bin,イーオスＵグリーヴ,Io U Greaves
0x439334@mhfdat-jp.bin,イーオスＵレギンス,Io U Leggings
0x439338@mhfdat-jp.bin,ゲリョスＵグリーヴ,Gypceros U Greaves
0x43933c@mhfdat-jp.bin,ゲリョスＵレギンス,Gypceros U Leggings
0x439340@mhfdat-jp.bin,ガレオスＵグリーヴ,Cepha U Greaves
0x439344@mhfdat-jp.bin,ガレオスＵレギンス,Cepha U Leggings
0x439348@mhfdat-jp.bin,リオハートグリーヴ,Rath Heart Greaves
0x43934c@mhfdat-jp.bin,リオハートレギンス,Rath Heart Leggings
0x439350@mhfdat-jp.bin,フルフルＵグリーヴ,Khezu U Greaves
0x439354@mhfdat-jp.bin,フルフルＵレギンス,Khezu U Leggings
0x439358@mhfdat-jp.bin,リオソウルグリーヴ,Rath Soul Greaves
0x43935c@mhfdat-jp.bin,リオソウルレギンス,Rath Soul Leggings
0x439360@mhfdat-jp.bin,ガノスＵグリーヴ,Plesioth U Greaves
0x439364@mhfdat-jp.bin,ガノスＵレギンス,Plesioth U Leggings
0x439368@mhfdat-jp.bin,バサルＵグリーヴ,Basarios U Greaves
0x43936c@mhfdat-jp.bin,バサルＵレギンス,Basarios U Leggings
0x439370@mhfdat-jp.bin,ディアブロＵグリーヴ,Diablos U Greaves
0x439374@mhfdat-jp.bin,ディアブロＵレギンス,Diablos U Leggings
0x439378@mhfdat-jp.bin,モノデビルグリーヴ,Monodevil Greaves
0x43937c@mhfdat-jp.bin,モノデビルレギンス,Monodevil Leggings
0x439380@mhfdat-jp.bin,グラビドＵグリーヴ,Gravios U Greaves
0x439384@mhfdat-jp.bin,グラビドＵレギンス,Gravios U Leggings
0x439388@mhfdat-jp.bin,忍の足袋・空,忍の Tabi・空
0x43938c@mhfdat-jp.bin,忍の足袋・海,忍の Tabi・海
0x439390@mhfdat-jp.bin,ガーディアンＵブーツ,Guardian U Boots
0x439394@mhfdat-jp.bin,ガーディアンＵフット,Guardian U Feet
0x439398@mhfdat-jp.bin,ヘルパーＵソックス,Helper U Socks
0x43939c@mhfdat-jp.bin,ヒーラーＵソックス,Healer U Socks
0x4393a0@mhfdat-jp.bin,暁丸・皇【具足】,暁丸・皇【Greaves】
0x4393a4@mhfdat-jp.bin,曙丸・皇【具足】,曙丸・皇【Greaves】
0x4393a8@mhfdat-jp.bin,凛・皇【袴】,凛・皇【 Hakama 】
0x4393ac@mhfdat-jp.bin,艶・皇【袴】,艶・皇【 Hakama 】
0x4393b0@mhfdat-jp.bin,ミラバルカンフット,ミラ Vulcan Feet
0x4393b4@mhfdat-jp.bin,ミラバルカンレグス,ミラ Vulcan Legs
0x4393b8@mhfdat-jp.bin,ゴールドルナグリーヴ,ゴールド Lune Greaves
0x4393bc@mhfdat-jp.bin,ゴールドルナレギンス,ゴールド Lune Leggings
0x4393c0@mhfdat-jp.bin,シルバーソルグリーヴ,Silver Sol Greaves
0x4393c4@mhfdat-jp.bin,シルバーソルレギンス,Silver Sol Leggings
0x4393c8@mhfdat-jp.bin,グリーンＳジャージー,Green S Jersey
0x4393cc@mhfdat-jp.bin,ブルーＳジャージー,Blue S Jersey
0x4393d0@mhfdat-jp.bin,ハンターＳグリーヴ,Hunter's S Greaves
0x4393d4@mhfdat-jp.bin,ハンターＳレギンス,Hunter's S Leggings
0x4393d8@mhfdat-jp.bin,ボーンＳグリーヴ,Bone S Greaves
0x4393dc@mhfdat-jp.bin,ボーンＳレギンス,Bone S Leggings
0x4393e0@mhfdat-jp.bin,ランポスＳグリーヴ,Veloci S Greaves
0x4393e4@mhfdat-jp.bin,ランポスＳレギンス,Veloci S Leggings
0x4393e8@mhfdat-jp.bin,バトルＳグリーヴ,Battle S Greaves
0x4393ec@mhfdat-jp.bin,バトルＳレギンス,Battle S Leggings
0x4393f0@mhfdat-jp.bin,ランゴＳグリーヴ,Vespoid S Greaves
0x4393f4@mhfdat-jp.bin,ランゴＳレギンス,Vespoid S Leggings
0x4393f8@mhfdat-jp.bin,タロスＳグリーヴ,Hornetaur S Greaves
0x4393fc@mhfdat-jp.bin,タロスＳレギンス,Hornetaur S Leggings
0x439400@mhfdat-jp.bin,ハイメタＳグリーヴ,High Metal S Greaves
0x439404@mhfdat-jp.bin,ハイメタＳレギンス,High Metal S Leggings
0x439408@mhfdat-jp.bin,ゲネポスＳグリーヴ,Gen S Greaves
0x43940c@mhfdat-jp.bin,ゲネポスＳレギンス,Gen S Leggings
0x439410@mhfdat-jp.bin,クックＳグリーヴ,Kut-Ku S Greaves
0x439414@mhfdat-jp.bin,クックＳレギンス,Kut-Ku S Leggings
0x439418@mhfdat-jp.bin,イーオスＳグリーヴ,Io S Greaves
0x43941c@mhfdat-jp.bin,イーオスＳレギンス,Io S Leggings
0x439420@mhfdat-jp.bin,ゲリョスＳグリーヴ,Gypceros S Greaves
0x439424@mhfdat-jp.bin,ゲリョスＳレギンス,Gypceros S Leggings
0x439428@mhfdat-jp.bin,ガレオスＳグリーヴ,Cepha S Greaves
0x43942c@mhfdat-jp.bin,ガレオスＳレギンス,Cepha S Leggings
0x439430@mhfdat-jp.bin,レイアＳグリーヴ,Rathian S Greaves
0x439434@mhfdat-jp.bin,レイアＳレギンス,Rathian S Leggings
0x439438@mhfdat-jp.bin,フルフルＳグリーヴ,Khezu S Greaves
0x43943c@mhfdat-jp.bin,フルフルＳレギンス,Khezu S Leggings
0x439440@mhfdat-jp.bin,レウスＳグリーヴ,Rathalos S Greaves
0x439444@mhfdat-jp.bin,レウスＳレギンス,Rathalos S Leggings
0x439448@mhfdat-jp.bin,ガノスＳグリーヴ,Plesioth S Greaves
0x43944c@mhfdat-jp.bin,ガノスＳレギンス,Plesioth S Leggings
0x439450@mhfdat-jp.bin,バサルＳグリーヴ,Basarios S Greaves
0x439454@mhfdat-jp.bin,バサルＳレギンス,Basarios S Leggings
0x439458@mhfdat-jp.bin,ディアブロＳグリーヴ,Diablos S Greaves
0x43945c@mhfdat-jp.bin,ディアブロＳレギンス,Diablos S Leggings
0x439460@mhfdat-jp.bin,モノブロスＳグリーヴ,Monoblos S Greaves
0x439464@mhfdat-jp.bin,モノブロスＳレギンス,Monoblos S Leggings
0x439468@mhfdat-jp.bin,グラビドＳグリーヴ,Gravios S Greaves
0x43946c@mhfdat-jp.bin,グラビドＳレギンス,Gravios S Leggings
0x439470@mhfdat-jp.bin,忍の足袋・天,忍の Tabi・Heaven
0x439474@mhfdat-jp.bin,忍の足袋・地,忍の Tabi・Earth
0x439478@mhfdat-jp.bin,ギルドガードブーツ紅,Guild Guard Boots Crimson
0x43947c@mhfdat-jp.bin,ギルドガードタイツ紅,Guild Guard タイツ Crimson
0x439480@mhfdat-jp.bin,ギルドガードブーツ紅,Guild Guard Boots Crimson
0x439484@mhfdat-jp.bin,ギルドガードタイツ紅,Guild Guard タイツ Crimson
0x439488@mhfdat-jp.bin,暁丸・覇【具足】,
0x43948c@mhfdat-jp.bin,曙丸・覇【具足】,
0x439490@mhfdat-jp.bin,凛・覇【袴】,凛・覇【 Hakama 】
0x439494@mhfdat-jp.bin,艶・覇【袴】,艶・覇【 Hakama 】
0x439498@mhfdat-jp.bin,ドラゴンＳフット,Dragon S Feet
0x43949c@mhfdat-jp.bin,ドラゴンＳレグス,Dragon S Legs
0x4394a0@mhfdat-jp.bin,ザザミグリーヴ,Hermitaur Greaves
0x4394a4@mhfdat-jp.bin,ザザミレギンス,Hermitaur Leggings
0x4394a8@mhfdat-jp.bin,ザザミＵグリーヴ,Hermitaur U Greaves
0x4394ac@mhfdat-jp.bin,ザザミＵレギンス,Hermitaur U Leggings
0x4394b0@mhfdat-jp.bin,ザザミＳグリーヴ,Hermitaur S Greaves
0x4394b4@mhfdat-jp.bin,ザザミＳレギンス,Hermitaur S Leggings
0x4394b8@mhfdat-jp.bin,コンガグリーヴ,Conga Greaves
0x4394bc@mhfdat-jp.bin,コンガレギンス,Conga Leggings
0x4394c0@mhfdat-jp.bin,コンガＵグリーヴ,Conga U Greaves
0x4394c4@mhfdat-jp.bin,コンガＵレギンス,Conga U Leggings
0x4394c8@mhfdat-jp.bin,コンガＳグリーヴ,Conga S Greaves
0x4394cc@mhfdat-jp.bin,コンガＳレギンス,Conga S Leggings
0x4394d0@mhfdat-jp.bin,ブランゴグリーヴ,Blango Greaves
0x4394d4@mhfdat-jp.bin,ブランゴレギンス,Blango Leggings
0x4394d8@mhfdat-jp.bin,ブランゴＵグリーヴ,Blango U Greaves
0x4394dc@mhfdat-jp.bin,ブランゴＵレギンス,Blango U Leggings
0x4394e0@mhfdat-jp.bin,ブランゴＳグリーヴ,Blango S Greaves
0x4394e4@mhfdat-jp.bin,ブランゴＳレギンス,Blango S Leggings
0x4394e8@mhfdat-jp.bin,ギザミグリーヴ,Ceanataur Greaves
