location,source,target
0x446520@mhfdat-jp.bin,装備無し,Nothing Equipped
0x446524@mhfdat-jp.bin,レザーライトベルト,Leather Belt
0x446528@mhfdat-jp.bin,スキンライトベルト,Skin Light Belt
0x44652c@mhfdat-jp.bin,チェーンライトベルト,Chainmail Belt
0x446530@mhfdat-jp.bin,アイアンベルト,Iron Belt
0x446534@mhfdat-jp.bin,ハンターフォールド,Hunter's Faulds
0x446538@mhfdat-jp.bin,ハンターコート,Hunter's Coat
0x44653c@mhfdat-jp.bin,ボーンフォールド,Bone Faulds
0x446540@mhfdat-jp.bin,ボーンコート,Bone Coat
0x446544@mhfdat-jp.bin,ランポスフォールド,Veloci Faulds
0x446548@mhfdat-jp.bin,ランポスコート,Veloci Coat
0x44654c@mhfdat-jp.bin,バトルフォールド,Battle Faulds
0x446550@mhfdat-jp.bin,バトルコート,Battle Coat
0x446554@mhfdat-jp.bin,ハイドベルト,Hide Belt
0x446558@mhfdat-jp.bin,ランゴフォールド,Vespoid Faulds
0x44655c@mhfdat-jp.bin,ランゴコート,Vespoid Coat
0x446560@mhfdat-jp.bin,タロスフォールド,Hornetaur Faulds
0x446564@mhfdat-jp.bin,タロスコート,Hornetaur Coat
0x446568@mhfdat-jp.bin,ハイメタフォールド,High Metal Faulds
0x44656c@mhfdat-jp.bin,ハイメタコート,High Metal Coat
0x446570@mhfdat-jp.bin,ゲネポスフォールド,Gen Faulds
0x446574@mhfdat-jp.bin,ゲネポスコート,Gen Coat
0x446578@mhfdat-jp.bin,クロムメタルコイル,Chrome Metal Coil
0x44657c@mhfdat-jp.bin,クックフォールド,Kut-Ku Faulds
0x446580@mhfdat-jp.bin,クックコート,Kut-Ku Coat
0x446584@mhfdat-jp.bin,イーオスフォールド,Io Faulds
0x446588@mhfdat-jp.bin,イーオスコート,Io Coat
0x44658c@mhfdat-jp.bin,ゲリョスフォールド,Gypceros Faulds
0x446590@mhfdat-jp.bin,ゲリョスコート,Gypceros Coat
0x446594@mhfdat-jp.bin,ガレオスフォールド,Cepha Faulds
0x446598@mhfdat-jp.bin,ガレオスコート,Cepha Coat
0x44659c@mhfdat-jp.bin,スティールベルト,Steel Belt
0x4465a0@mhfdat-jp.bin,レイアフォールド,Rathian Faulds
0x4465a4@mhfdat-jp.bin,レイアコート,Rathian Coat
0x4465a8@mhfdat-jp.bin,フルフルフォールド,Khezu Faulds
0x4465ac@mhfdat-jp.bin,フルフルコート,Khezu Coat
0x4465b0@mhfdat-jp.bin,レウスフォールド,Rathalos Faulds
0x4465b4@mhfdat-jp.bin,レウスコート,Rathalos Coat
0x4465b8@mhfdat-jp.bin,バサルフォールド,Basarios Faulds
0x4465bc@mhfdat-jp.bin,バサルコート,Basarios Coat
0x4465c0@mhfdat-jp.bin,ディアブロコイル,Diablos Coil
0x4465c4@mhfdat-jp.bin,ディアブロコート,Diablos Coat
0x4465c8@mhfdat-jp.bin,モノブロスコイル,Monoblos Coil
0x4465cc@mhfdat-jp.bin,モノブロスコート,Monoblos Coat
0x4465d0@mhfdat-jp.bin,グラビドフォールド,Gravios Faulds
0x4465d4@mhfdat-jp.bin,グラビドコート,Gravios Coat
0x4465d8@mhfdat-jp.bin,クロオビフォールド,Black Belt Faulds
0x4465dc@mhfdat-jp.bin,モスヒップ,Mosswine Hip
0x4465e0@mhfdat-jp.bin,メルホアオッハ,Melahoa Folia
0x4465e4@mhfdat-jp.bin,ビストロエプロン,Bistro Apron
0x4465e8@mhfdat-jp.bin,忍の帯・陽,忍の Obi・陽
0x4465ec@mhfdat-jp.bin,忍の帯・陰,忍の Obi・陰
0x4465f0@mhfdat-jp.bin,ガーディアンコイル,Guardian Coil
0x4465f4@mhfdat-jp.bin,ガーディアンコート,Guardian Coat
0x4465f8@mhfdat-jp.bin,ヘルパースカート,Helper Skirt
0x4465fc@mhfdat-jp.bin,ヒーラーフリル,Healer Frill
0x446600@mhfdat-jp.bin,ガルルガフォールド,Garuga Faulds
0x446604@mhfdat-jp.bin,ガルルガコート,Garuga Coat
0x446608@mhfdat-jp.bin,暁丸【腰当て】,
0x44660c@mhfdat-jp.bin,曙丸【腰当て】,
0x446610@mhfdat-jp.bin,凛【腰当て】,
0x446614@mhfdat-jp.bin,艶【腰当て】,
0x446618@mhfdat-jp.bin,紅凛【腰当て】,Crimson 凛【腰当て】
0x44661c@mhfdat-jp.bin,紅艶【腰当て】,Crimson 艶【腰当て】
0x446620@mhfdat-jp.bin,ドラゴンウイング,Dragon Wing
0x446624@mhfdat-jp.bin,ドラゴンテイル,Dragon テイル
0x446628@mhfdat-jp.bin,レザーライトＵベルト,Leather U Belt
0x44662c@mhfdat-jp.bin,チェーンＵベルト,Chainmail U Belt
0x446630@mhfdat-jp.bin,ハンターＵフォールド,Hunter's U Faulds
0x446634@mhfdat-jp.bin,ハンターＵコート,Hunter's U Coat
0x446638@mhfdat-jp.bin,ボーンＵフォールド,Bone U Faulds
0x44663c@mhfdat-jp.bin,ボーンＵコート,Bone U Coat
0x446640@mhfdat-jp.bin,ギアノスフォールド,Gia Faulds
0x446644@mhfdat-jp.bin,ギアノスコート,Gia Coat
0x446648@mhfdat-jp.bin,バトルＵフォールド,Battle U Faulds
0x44664c@mhfdat-jp.bin,バトルＵコート,Battle U Coat
0x446650@mhfdat-jp.bin,ランゴＵフォールド,Vespoid U Faulds
0x446654@mhfdat-jp.bin,ランゴＵコート,Vespoid U Coat
0x446658@mhfdat-jp.bin,タロスＵフォールド,Hornetaur U Faulds
0x44665c@mhfdat-jp.bin,タロスＵコート,Hornetaur U Coat
0x446660@mhfdat-jp.bin,ハイメタＵフォールド,High Metal U Faulds
0x446664@mhfdat-jp.bin,ハイメタＵコート,High Metal U Coat
0x446668@mhfdat-jp.bin,ゲネポスＵフォールド,Gen U Faulds
0x44666c@mhfdat-jp.bin,ゲネポスＵコート,Gen U Coat
0x446670@mhfdat-jp.bin,クックＵフォールド,Kut-Ku U Faulds
0x446674@mhfdat-jp.bin,クックＵコート,Kut-Ku U Coat
0x446678@mhfdat-jp.bin,イーオスＵフォールド,Io U Faulds
0x44667c@mhfdat-jp.bin,イーオスＵコート,Io U Coat
0x446680@mhfdat-jp.bin,ゲリョスＵフォールド,Gypceros U Faulds
0x446684@mhfdat-jp.bin,ゲリョスＵコート,Gypceros U Coat
0x446688@mhfdat-jp.bin,ガレオスＵフォールド,Cepha U Faulds
0x44668c@mhfdat-jp.bin,ガレオスＵコート,Cepha U Coat
0x446690@mhfdat-jp.bin,スティールＵベルト,Steel U Belt
0x446694@mhfdat-jp.bin,リオハートフォールド,Rath Heart Faulds
0x446698@mhfdat-jp.bin,リオハートコート,Rath Heart Coat
0x44669c@mhfdat-jp.bin,フルフルＵフォールド,Khezu U Faulds
0x4466a0@mhfdat-jp.bin,フルフルＵコート,Khezu U Coat
0x4466a4@mhfdat-jp.bin,リオソウルフォールド,Rath Soul Faulds
0x4466a8@mhfdat-jp.bin,リオソウルコート,Rath Soul Coat
0x4466ac@mhfdat-jp.bin,バサルＵフォールド,Basarios U Faulds
0x4466b0@mhfdat-jp.bin,バサルＵコート,Basarios U Coat
0x4466b4@mhfdat-jp.bin,ディアブロＵコイル,Diablos U Coil
0x4466b8@mhfdat-jp.bin,ディアブロＵコート,Diablos U Coat
0x4466bc@mhfdat-jp.bin,モノデビルコイル,Monodevil Coil
0x4466c0@mhfdat-jp.bin,モノデビルコート,Monodevil Coat
0x4466c4@mhfdat-jp.bin,グラビドＵフォールド,Gravios U Faulds
0x4466c8@mhfdat-jp.bin,グラビドＵコート,Gravios U Coat
0x4466cc@mhfdat-jp.bin,忍の帯・空,忍の Obi・空
0x4466d0@mhfdat-jp.bin,忍の帯・海,忍の Obi・海
0x4466d4@mhfdat-jp.bin,ガーディアンＵコイル,Guardian U Coil
0x4466d8@mhfdat-jp.bin,ガーディアンＵコート,Guardian U Coat
0x4466dc@mhfdat-jp.bin,ヘルパーＵスカート,Helper U Skirt
0x4466e0@mhfdat-jp.bin,ヒーラーＵフリル,Healer U Frill
0x4466e4@mhfdat-jp.bin,暁丸・皇【腰当て】,
0x4466e8@mhfdat-jp.bin,曙丸・皇【腰当て】,
0x4466ec@mhfdat-jp.bin,凛・皇【腰当て】,
0x4466f0@mhfdat-jp.bin,艶・皇【腰当て】,
0x4466f4@mhfdat-jp.bin,ミラバルカンウイング,ミラ Vulcan Wing
0x4466f8@mhfdat-jp.bin,ミラバルカンテイル,ミラ Vulcan テイル
0x4466fc@mhfdat-jp.bin,ゴールドルナコイル,ゴールド Lune Coil
0x446700@mhfdat-jp.bin,ゴールドルナコート,ゴールド Lune Coat
0x446704@mhfdat-jp.bin,シルバーソルコイル,Silver Sol Coil
0x446708@mhfdat-jp.bin,シルバーソルコート,Silver Sol Coat
0x44670c@mhfdat-jp.bin,レザーライトＳベルト,Leather S Belt
0x446710@mhfdat-jp.bin,Ｃ・ライトＳベルト,C・ライトS Belt
0x446714@mhfdat-jp.bin,ハンターＳフォールド,Hunter's S Faulds
0x446718@mhfdat-jp.bin,ハンターＳコート,Hunter's S Coat
0x44671c@mhfdat-jp.bin,ボーンＳフォールド,Bone S Faulds
0x446720@mhfdat-jp.bin,ボーンＳコート,Bone S Coat
0x446724@mhfdat-jp.bin,ランポスＳフォールド,Veloci S Faulds
0x446728@mhfdat-jp.bin,ランポスＳコート,Veloci S Coat
0x44672c@mhfdat-jp.bin,バトルＳフォールド,Battle S Faulds
0x446730@mhfdat-jp.bin,バトルＳコート,Battle S Coat
0x446734@mhfdat-jp.bin,ランゴＳフォールド,Vespoid S Faulds
0x446738@mhfdat-jp.bin,ランゴＳコート,Vespoid S Coat
0x44673c@mhfdat-jp.bin,タロスＳフォールド,Hornetaur S Faulds
0x446740@mhfdat-jp.bin,タロスＳコート,Hornetaur S Coat
0x446744@mhfdat-jp.bin,ハイメタＳフォールド,High Metal S Faulds
0x446748@mhfdat-jp.bin,ハイメタＳコート,High Metal S Coat
0x44674c@mhfdat-jp.bin,ゲネポスＳフォールド,Gen S Faulds
0x446750@mhfdat-jp.bin,ゲネポスＳコート,Gen S Coat
0x446754@mhfdat-jp.bin,クックＳフォールド,Kut-Ku S Faulds
0x446758@mhfdat-jp.bin,クックＳコート,Kut-Ku S Coat
0x44675c@mhfdat-jp.bin,イーオスＳフォールド,Io S Faulds
0x446760@mhfdat-jp.bin,イーオスＳコート,Io S Coat
0x446764@mhfdat-jp.bin,ゲリョスＳフォールド,Gypceros S Faulds
0x446768@mhfdat-jp.bin,ゲリョスＳコート,Gypceros S Coat
0x44676c@mhfdat-jp.bin,ガレオスＳフォールド,Cepha S Faulds
0x446770@mhfdat-jp.bin,ガレオスＳコート,Cepha S Coat
0x446774@mhfdat-jp.bin,スティールＳベルト,Steel S Belt
0x446778@mhfdat-jp.bin,レイアＳフォールド,Rathian S Faulds
0x44677c@mhfdat-jp.bin,レイアＳコート,Rathian S Coat
0x446780@mhfdat-jp.bin,フルフルＳフォールド,Khezu S Faulds
0x446784@mhfdat-jp.bin,フルフルＳコート,Khezu S Coat
0x446788@mhfdat-jp.bin,レウスＳフォールド,Rathalos S Faulds
0x44678c@mhfdat-jp.bin,レウスＳコート,Rathalos S Coat
0x446790@mhfdat-jp.bin,バサルＳフォールド,Basarios S Faulds
0x446794@mhfdat-jp.bin,バサルＳコート,Basarios S Coat
0x446798@mhfdat-jp.bin,ディアブロＳコイル,Diablos S Coil
0x44679c@mhfdat-jp.bin,ディアブロＳコート,Diablos S Coat
