location,source,target
0xb9c0a0@mhfdat-jp.bin,−−−−−−,
0xb9c0a4@mhfdat-jp.bin,調合書①入門編,Book of Combos 1
0xb9c0a8@mhfdat-jp.bin,調合書②初級編,Book of Combos 2
0xb9c0ac@mhfdat-jp.bin,調合書③中級編,Book of Combos 3
0xb9c0b0@mhfdat-jp.bin,調合書④上級編,Book of Combos 4
0xb9c0b4@mhfdat-jp.bin,調合書⑤達人編,Book of Combos 5
0xb9c0b8@mhfdat-jp.bin,調合書Ｇ・錬金編,Alchemy Guide
0xb9c0bc@mhfdat-jp.bin,回復薬,Potion
0xb9c0c0@mhfdat-jp.bin,回復薬グレート,Mega Potion
0xb9c0c4@mhfdat-jp.bin,栄養剤,Nutrients
0xb9c0c8@mhfdat-jp.bin,栄養剤グレート,Mega Nutrients
0xb9c0cc@mhfdat-jp.bin,解毒薬,Antidote
0xb9c0d0@mhfdat-jp.bin,活力剤,Immunizer
0xb9c0d4@mhfdat-jp.bin,強走薬,Dash Juice
0xb9c0d8@mhfdat-jp.bin,強走薬グレート,Mega Dash Juice
0xb9c0dc@mhfdat-jp.bin,鬼人薬,Demondrug
0xb9c0e0@mhfdat-jp.bin,鬼人薬グレート,Mega Demondrug
0xb9c0e4@mhfdat-jp.bin,怪力の丸薬,Might Pill
0xb9c0e8@mhfdat-jp.bin,硬化薬,Armorskin
0xb9c0ec@mhfdat-jp.bin,硬化薬グレート,Mega Armorskin
0xb9c0f0@mhfdat-jp.bin,忍耐の丸薬,Adamant Pill
0xb9c0f4@mhfdat-jp.bin,クーラードリンク,Cool Drink
0xb9c0f8@mhfdat-jp.bin,ホットドリンク,Hot Drink
0xb9c0fc@mhfdat-jp.bin,千里眼の薬,Psychoserum
0xb9c100@mhfdat-jp.bin,モンスターの体液,Monster Fluid
0xb9c104@mhfdat-jp.bin,モンスターの濃汁,Monster Broth
0xb9c108@mhfdat-jp.bin,漢方薬,Herbal Medicine
0xb9c10c@mhfdat-jp.bin,秘薬,Max Potion
0xb9c110@mhfdat-jp.bin,いにしえの秘薬,Ancient Potion
0xb9c114@mhfdat-jp.bin,増強剤,Catalyst
0xb9c118@mhfdat-jp.bin,元気ドリンコ,Energy Drink
0xb9c11c@mhfdat-jp.bin,（ダミー）,(dummy)
0xb9c120@mhfdat-jp.bin,爆薬,Gunpowder
0xb9c124@mhfdat-jp.bin,生命の粉,Lifecrystals
0xb9c128@mhfdat-jp.bin,生命の粉塵,Lifepowder
0xb9c12c@mhfdat-jp.bin,力の護符,Powercharm
0xb9c130@mhfdat-jp.bin,力の爪,Powertalon
0xb9c134@mhfdat-jp.bin,守りの護符,Armorcharm
0xb9c138@mhfdat-jp.bin,守りの爪,Armortalon
0xb9c13c@mhfdat-jp.bin,捕獲用麻酔薬,Tranquilizer
0xb9c140@mhfdat-jp.bin,生肉,Raw Meat
0xb9c144@mhfdat-jp.bin,調理肉,Oiled Meat
0xb9c148@mhfdat-jp.bin,スパイシー生肉,Spiced Meat
0xb9c14c@mhfdat-jp.bin,クール生肉,Glazed meat
0xb9c150@mhfdat-jp.bin,毒生肉,Poisoned Meat
0xb9c154@mhfdat-jp.bin,シビレ生肉,Tinged Meat
0xb9c158@mhfdat-jp.bin,眠り生肉,Drugged Meat
0xb9c15c@mhfdat-jp.bin,生焼け肉,Rare Steak
0xb9c160@mhfdat-jp.bin,こんがり肉,Well-done Steak
0xb9c164@mhfdat-jp.bin,こんがり肉Ｇ,Gourmet Steak
0xb9c168@mhfdat-jp.bin,コゲ肉,Burnt Meat
0xb9c16c@mhfdat-jp.bin,ホットミート,Hot Meat
0xb9c170@mhfdat-jp.bin,ホットミートＧ,Hot Meat+
0xb9c174@mhfdat-jp.bin,クーラーミート,Chilled Meat
0xb9c178@mhfdat-jp.bin,クーラーミートＧ,Chilled Meat+
0xb9c17c@mhfdat-jp.bin,解毒ミート,Antidote Meat
0xb9c180@mhfdat-jp.bin,解毒ミートＧ,Antidote Meat+
0xb9c184@mhfdat-jp.bin,生焼け魚,Rare Fish
0xb9c188@mhfdat-jp.bin,こんがり魚,Well Done Fish
0xb9c18c@mhfdat-jp.bin,こんがり魚ドス,Well Done Fish Dos
0xb9c190@mhfdat-jp.bin,こんがり魚Ｇ,Gourmet Fish
0xb9c194@mhfdat-jp.bin,こんがり魚ドスＧ,Gourmet Fish Dos
0xb9c198@mhfdat-jp.bin,コゲ魚,Burnt Fish
0xb9c19c@mhfdat-jp.bin,（ダミー）,(dummy)
0xb9c1a0@mhfdat-jp.bin,ブーメラン,Boomerang
0xb9c1a4@mhfdat-jp.bin,投げナイフ,Throwing Knife
0xb9c1a8@mhfdat-jp.bin,毒投げナイフ,Poison Knife
0xb9c1ac@mhfdat-jp.bin,眠り投げナイフ,Sleep Knife
0xb9c1b0@mhfdat-jp.bin,麻痺投げナイフ,Paralysis Knife
0xb9c1b4@mhfdat-jp.bin,捕獲用麻酔ナイフ,Tranq Knife
0xb9c1b8@mhfdat-jp.bin,素材玉,Bomb Casing
0xb9c1bc@mhfdat-jp.bin,ペイントボール,Paintball
0xb9c1c0@mhfdat-jp.bin,閃光玉,Flash Bomb
0xb9c1c4@mhfdat-jp.bin,音爆弾,Sonic Bomb
0xb9c1c8@mhfdat-jp.bin,モンスターのフン,Dung
0xb9c1cc@mhfdat-jp.bin,こやし玉,Dung Bomb
0xb9c1d0@mhfdat-jp.bin,けむり玉,Smoke Bomb
0xb9c1d4@mhfdat-jp.bin,毒けむり玉,Poison Smoke Bomb
0xb9c1d8@mhfdat-jp.bin,モドリ玉,Farcaster
0xb9c1dc@mhfdat-jp.bin,消臭玉,Deodorant
0xb9c1e0@mhfdat-jp.bin,捕獲用麻酔玉,Tranq Bomb
0xb9c1e4@mhfdat-jp.bin,クモの巣,Spiderweb
0xb9c1e8@mhfdat-jp.bin,ネット,Net
0xb9c1ec@mhfdat-jp.bin,トラップツール,Trap Tool
0xb9c1f0@mhfdat-jp.bin,落とし穴,Pitfall Trap
0xb9c1f4@mhfdat-jp.bin,シビレ罠,Shock Trap
0xb9c1f8@mhfdat-jp.bin,爆雷針,Lightning Rod
0xb9c1fc@mhfdat-jp.bin,（ダミー）,(dummy)
0xb9c200@mhfdat-jp.bin,タルの蓋,Barrel Lid
0xb9c204@mhfdat-jp.bin,小タル,Small Barrel
0xb9c208@mhfdat-jp.bin,大タル,Large Barrel
0xb9c20c@mhfdat-jp.bin,小タル爆弾,Barrel Bomb S
0xb9c210@mhfdat-jp.bin,小タル爆弾Ｇ,Barrel Bomb S+
0xb9c214@mhfdat-jp.bin,大タル爆弾,Barrel Bomb L
0xb9c218@mhfdat-jp.bin,大タル爆弾Ｇ,Barrel Bomb L+
0xb9c21c@mhfdat-jp.bin,打上げタル爆弾,Bounce Bomb
0xb9c220@mhfdat-jp.bin,打上げタル爆弾Ｇ,Bounce Bomb+
0xb9c224@mhfdat-jp.bin,対巨龍爆弾,Anti-Dragon Bomb
0xb9c228@mhfdat-jp.bin,イベント爆弾,Event Bomb
0xb9c22c@mhfdat-jp.bin,カラの実,Huskberry
0xb9c230@mhfdat-jp.bin,カラ骨【小】,Bone Husk S
0xb9c234@mhfdat-jp.bin,カラ骨【大】,Bone Husk L
0xb9c238@mhfdat-jp.bin,LV1 通常弾,Normal S LV1
0xb9c23c@mhfdat-jp.bin,LV2 通常弾,Normal S LV2
0xb9c240@mhfdat-jp.bin,LV3 通常弾,Normal S LV3
0xb9c244@mhfdat-jp.bin,LV1 貫通弾,Pierce S LV1
0xb9c248@mhfdat-jp.bin,LV2 貫通弾,Pierce S LV2
0xb9c24c@mhfdat-jp.bin,LV3 貫通弾,Pierce S LV3
0xb9c250@mhfdat-jp.bin,LV1 散弾,Pellet S Lv1
0xb9c254@mhfdat-jp.bin,LV2 散弾,Pellet S Lv2
0xb9c258@mhfdat-jp.bin,LV3 散弾,Pellet S Lv3
0xb9c25c@mhfdat-jp.bin,LV1 徹甲榴弾,Crag S Lv1
0xb9c260@mhfdat-jp.bin,LV2 徹甲榴弾,Crag S Lv2
0xb9c264@mhfdat-jp.bin,LV3 徹甲榴弾,Crag S Lv3
0xb9c268@mhfdat-jp.bin,LV1 拡散弾,Clust S Lv1
0xb9c26c@mhfdat-jp.bin,LV2 拡散弾,Clust S Lv2
0xb9c270@mhfdat-jp.bin,LV3 拡散弾,Clust S Lv3
0xb9c274@mhfdat-jp.bin,火炎弾,Flaming S
0xb9c278@mhfdat-jp.bin,水冷弾,Water S
0xb9c27c@mhfdat-jp.bin,電撃弾,Thunder S
0xb9c280@mhfdat-jp.bin,氷結弾,Freeze S
0xb9c284@mhfdat-jp.bin,滅龍弾,Dragon S
0xb9c288@mhfdat-jp.bin,LV1 回復弾,Recover S Lv1
0xb9c28c@mhfdat-jp.bin,LV2 回復弾,Recover S Lv2
0xb9c290@mhfdat-jp.bin,LV1 毒弾,Poison S Lv1
0xb9c294@mhfdat-jp.bin,LV2 毒弾,Poison S Lv2
0xb9c298@mhfdat-jp.bin,LV1 麻痺弾,Para S Lv1
0xb9c29c@mhfdat-jp.bin,LV2 麻痺弾,Para S Lv2
0xb9c2a0@mhfdat-jp.bin,LV1 睡眠弾,Sleep S Lv1
0xb9c2a4@mhfdat-jp.bin,LV2 睡眠弾,Sleep S Lv2
0xb9c2a8@mhfdat-jp.bin,捕獲用麻酔弾,Tranq S
0xb9c2ac@mhfdat-jp.bin,ペイント弾,Paint S
0xb9c2b0@mhfdat-jp.bin,鬼人弾,Demon S
0xb9c2b4@mhfdat-jp.bin,硬化弾,Armor S
0xb9c2b8@mhfdat-jp.bin,（ダミー）,(dummy)
0xb9c2bc@mhfdat-jp.bin,ビン無し,No Coating
0xb9c2c0@mhfdat-jp.bin,空きビン,Empty Bottle
0xb9c2c4@mhfdat-jp.bin,強撃ビン,Power Coating
0xb9c2c8@mhfdat-jp.bin,毒ビン,Poison Coating
0xb9c2cc@mhfdat-jp.bin,麻痺ビン,Para Coating
0xb9c2d0@mhfdat-jp.bin,睡眠ビン,Sleep Coating
0xb9c2d4@mhfdat-jp.bin,（ダミー）,(dummy)
0xb9c2d8@mhfdat-jp.bin,釣りバッタ,Cricket
0xb9c2dc@mhfdat-jp.bin,釣りミミズ,Worm
0xb9c2e0@mhfdat-jp.bin,釣りホタル,Firefly
0xb9c2e4@mhfdat-jp.bin,釣りカエル,Frog
0xb9c2e8@mhfdat-jp.bin,マグダンゴ,Tuna Bait
0xb9c2ec@mhfdat-jp.bin,アロダンゴ,Arowana Bait
0xb9c2f0@mhfdat-jp.bin,黄金ダンゴ,Goldenfish Bait
0xb9c2f4@mhfdat-jp.bin,釣りフィーバエ,Mega Fishing Fly
0xb9c2f8@mhfdat-jp.bin,ボロピッケル,Old Pickaxe
0xb9c2fc@mhfdat-jp.bin,ピッケル,Iron Pickaxe
0xb9c300@mhfdat-jp.bin,ピッケルグレート,Mega Pickaxe
0xb9c304@mhfdat-jp.bin,ボロ虫あみ,Old Bugnet
0xb9c308@mhfdat-jp.bin,虫あみ,Bugnet
0xb9c30c@mhfdat-jp.bin,虫あみグレート,Mega Bugnet
0xb9c310@mhfdat-jp.bin,肉焼きセット,BBQ Spit
0xb9c314@mhfdat-jp.bin,高速肉焼きセット,Quick BBQ Spit
0xb9c318@mhfdat-jp.bin,男の肉焼きセット,Male BBQ Spit
0xb9c31c@mhfdat-jp.bin,女の肉焼きセット,Female BBQ Spit
0xb9c320@mhfdat-jp.bin,猫の肉焼きセット,Felyne BBQ Spit
0xb9c324@mhfdat-jp.bin,よろず焼きキット,Universal BBQ Kit
0xb9c328@mhfdat-jp.bin,よろず焼きセット,Universal BBQ Set
0xb9c32c@mhfdat-jp.bin,よろず焼き・肉,Meat BBQ
0xb9c330@mhfdat-jp.bin,よろず焼き・肉,Meat BBQ
0xb9c334@mhfdat-jp.bin,よろず焼き・肉,Meat BBQ
0xb9c338@mhfdat-jp.bin,よろず焼き・肉,Meat BBQ
0xb9c33c@mhfdat-jp.bin,よろず焼き・肉,Meat BBQ
0xb9c340@mhfdat-jp.bin,よろず焼き・魚,Fish BBQ
0xb9c344@mhfdat-jp.bin,よろず焼き・魚,Fish BBQ
0xb9c348@mhfdat-jp.bin,（ダミー）,(dummy)
0xb9c34c@mhfdat-jp.bin,（ダミー）,(dummy)
0xb9c350@mhfdat-jp.bin,砥石,Whetstone
0xb9c354@mhfdat-jp.bin,双眼鏡,Binoculars
0xb9c358@mhfdat-jp.bin,もえないゴミ,Garbage
0xb9c35c@mhfdat-jp.bin,角笛,Flute
0xb9c360@mhfdat-jp.bin,回復笛,Health Flute
0xb9c364@mhfdat-jp.bin,解毒笛,Antidote Flute
0xb9c368@mhfdat-jp.bin,鬼人笛,Demon Flute
0xb9c36c@mhfdat-jp.bin,硬化笛,Armor Flute
0xb9c370@mhfdat-jp.bin,ハチミツ,Honey
0xb9c374@mhfdat-jp.bin,太陽草,Day Herb
0xb9c378@mhfdat-jp.bin,落陽草,Sunset Herb
0xb9c37c@mhfdat-jp.bin,薬草,Herb
0xb9c380@mhfdat-jp.bin,げどく草,Antidote Herb
0xb9c384@mhfdat-jp.bin,火薬草,Fire Herb
0xb9c388@mhfdat-jp.bin,ツタの葉,Ivy
0xb9c38c@mhfdat-jp.bin,ネムリ草,Sleep Herb
0xb9c390@mhfdat-jp.bin,ネンチャク草,Sap Plant
0xb9c394@mhfdat-jp.bin,マタタビ,Felvine
0xb9c398@mhfdat-jp.bin,サボテンの花,Gloamgrass Root
0xb9c39c@mhfdat-jp.bin,百花サボテン,Gloamgrass Bud
0xb9c3a0@mhfdat-jp.bin,トウガラシ,Hot Pepper
0xb9c3a4@mhfdat-jp.bin,特産キノコ,Unique Mushroom
0xb9c3a8@mhfdat-jp.bin,厳選キノコ,Choice Mushroom
0xb9c3ac@mhfdat-jp.bin,熟成キノコ,Ripe Mushroom
0xb9c3b0@mhfdat-jp.bin,アオキノコ,Blue Mushroom
0xb9c3b4@mhfdat-jp.bin,ニトロダケ,Nitroshroom
0xb9c3b8@mhfdat-jp.bin,マヒダケ,Parashroom
0xb9c3bc@mhfdat-jp.bin,毒テングダケ,Toadstool
0xb9c3c0@mhfdat-jp.bin,ドキドキノコ,Exciteshroom
0xb9c3c4@mhfdat-jp.bin,マンドラゴラ,Dragon Toadstool
0xb9c3c8@mhfdat-jp.bin,特産キノコキムチ,Spicy Mushroom
0xb9c3cc@mhfdat-jp.bin,ゲキレツ毒テング,Deadly Mushroom
0xb9c3d0@mhfdat-jp.bin,七色たんぽぽ,Rainbow Dandelion
0xb9c3d4@mhfdat-jp.bin,ペイントの実,Paintberry
0xb9c3d8@mhfdat-jp.bin,怪力の種,Might Seed
0xb9c3dc@mhfdat-jp.bin,忍耐の種,Adamant Seed
0xb9c3e0@mhfdat-jp.bin,龍殺しの実,Dragonfell Berry
0xb9c3e4@mhfdat-jp.bin,はじけクルミ,Scatternut
0xb9c3e8@mhfdat-jp.bin,ハリの実,Needleberry
0xb9c3ec@mhfdat-jp.bin,カクサンの実,Bomberry
0xb9c3f0@mhfdat-jp.bin,かけた貝殻,Broken Shell
0xb9c3f4@mhfdat-jp.bin,黒真珠,Black Pearl
0xb9c3f8@mhfdat-jp.bin,陽光石,Sunstone
0xb9c3fc@mhfdat-jp.bin,石ころ,Stone
0xb9c400@mhfdat-jp.bin,鉄鉱石,Iron Ore
0xb9c404@mhfdat-jp.bin,大地の結晶,Earth Crystal
0xb9c408@mhfdat-jp.bin,マカライト鉱石,Machalite Ore
0xb9c40c@mhfdat-jp.bin,ドラグライト鉱石,Dragonite Ore
0xb9c410@mhfdat-jp.bin,カブレライト鉱石,Carbalite Ore
0xb9c414@mhfdat-jp.bin,ユニオン鉱石,Union Ore
0xb9c418@mhfdat-jp.bin,紅蓮石,Firestone
0xb9c41c@mhfdat-jp.bin,（ダミー）,(dummy)
0xb9c420@mhfdat-jp.bin,燃石炭,Coal
0xb9c424@mhfdat-jp.bin,ライトクリスタル,Lightcrystal
0xb9c428@mhfdat-jp.bin,ノヴァクリスタル,Novacrystal
0xb9c42c@mhfdat-jp.bin,抗菌石,Antiseptic Stone
0xb9c430@mhfdat-jp.bin,氷結晶,Ice Crystal
0xb9c434@mhfdat-jp.bin,（ダミー）,(dummy)
0xb9c438@mhfdat-jp.bin,ドスビスカス,Dosbiscus
0xb9c43c@mhfdat-jp.bin,エールナッツ,Ale Nuts
0xb9c440@mhfdat-jp.bin,アンバル鉱石,Amber Ore
0xb9c444@mhfdat-jp.bin,秘密のポーチ,Secret Pouch
0xb9c448@mhfdat-jp.bin,キレアジ,Knife Mackerel
0xb9c44c@mhfdat-jp.bin,サシミウオ,Sushifish
0xb9c450@mhfdat-jp.bin,眠魚,Sleepyfish
0xb9c454@mhfdat-jp.bin,ハリマグロ,Pin Tuna
0xb9c458@mhfdat-jp.bin,はじけイワシ,Rumblefish
0xb9c45c@mhfdat-jp.bin,カクサンデメキン,Scatterfish
0xb9c460@mhfdat-jp.bin,ハレツアロワナ,Burst Arowana
0xb9c464@mhfdat-jp.bin,バクレツアロワナ,Bomb Arowana
0xb9c468@mhfdat-jp.bin,ドスキレアジ,Lg Knife Mackarel
0xb9c46c@mhfdat-jp.bin,ドス眠魚,Lg Sleepy Fish
0xb9c470@mhfdat-jp.bin,ドスハリマグロ,Lg Pin Tuna
0xb9c474@mhfdat-jp.bin,ドスはじけイワシ,Lg Burst Arowana
0xb9c478@mhfdat-jp.bin,ドスアロワナ,Lg Bomb Arowana
0xb9c47c@mhfdat-jp.bin,大食いマグロ,Glutton Tuna
0xb9c480@mhfdat-jp.bin,ドス大食いマグロ,Gastronome Tuna
0xb9c484@mhfdat-jp.bin,黄金魚,Goldenfish
0xb9c488@mhfdat-jp.bin,カジキマグロ,Speartuna
0xb9c48c@mhfdat-jp.bin,小金魚,Small Goldenfish
0xb9c490@mhfdat-jp.bin,白金魚,Silverfish
0xb9c494@mhfdat-jp.bin,古代魚,Ancient Fish
0xb9c498@mhfdat-jp.bin,女王エビ,Queen Shrimp
0xb9c49c@mhfdat-jp.bin,虫の死骸,Insect Husk
0xb9c4a0@mhfdat-jp.bin,ヤマイモムシ,Yambug
0xb9c4a4@mhfdat-jp.bin,カクバッタ,Stinkhopper
0xb9c4a8@mhfdat-jp.bin,ツチハチノコ,Snakebee Larva
0xb9c4ac@mhfdat-jp.bin,不死虫,Godbug
0xb9c4b0@mhfdat-jp.bin,にが虫,Bitterbug
0xb9c4b4@mhfdat-jp.bin,光蟲,Flashbug
0xb9c4b8@mhfdat-jp.bin,雷光虫,Thunderbug
0xb9c4bc@mhfdat-jp.bin,王族カナブン,King Scarab
0xb9c4c0@mhfdat-jp.bin,のりこねバッタ,Gluehopper
0xb9c4c4@mhfdat-jp.bin,（ダミー）,(dummy)
0xb9c4c8@mhfdat-jp.bin,キラビートル,Killer Beetle
0xb9c4cc@mhfdat-jp.bin,マレコガネ,Rare Scarab
0xb9c4d0@mhfdat-jp.bin,ロイヤルカブト,Royal Rhino
0xb9c4d4@mhfdat-jp.bin,ジャンゴーネギ,Green Onion
0xb9c4d8@mhfdat-jp.bin,スライスサボテン,Sliced Cactus
0xb9c4dc@mhfdat-jp.bin,レアオニオン,Rare Onion
0xb9c4e0@mhfdat-jp.bin,シモフリトマト,Fatty Tomato
0xb9c4e4@mhfdat-jp.bin,オニマツタケ,Demon Mushroom
0xb9c4e8@mhfdat-jp.bin,ウォーミル麦,Warwheat
0xb9c4ec@mhfdat-jp.bin,ミックスビーンズ,Mixed Beans
0xb9c4f0@mhfdat-jp.bin,頑固パン,Stubborn Pan
0xb9c4f4@mhfdat-jp.bin,銀シャリ草,Silver Cordgrass
0xb9c4f8@mhfdat-jp.bin,古代豆,Ancient Beans
0xb9c4fc@mhfdat-jp.bin,ホワイトレバー,White Liver
0xb9c500@mhfdat-jp.bin,ポポノタン,Popo Tongue
0xb9c504@mhfdat-jp.bin,フルベビ漬け,Pickled Khezu Whlp
0xb9c508@mhfdat-jp.bin,ガブリブロース,Remobra Shank
0xb9c50c@mhfdat-jp.bin,リュウノテール,Dragon Tail
0xb9c510@mhfdat-jp.bin,オンプウオ,Songfish
0xb9c514@mhfdat-jp.bin,スネークサーモン,Snake Salmon
0xb9c518@mhfdat-jp.bin,米虫,Rice Bug
0xb9c51c@mhfdat-jp.bin,スパイスワーム,Spice Worm
0xb9c520@mhfdat-jp.bin,蜜トンボ,Honey Dragonfly
0xb9c524@mhfdat-jp.bin,ドスヘラクレス,Hercudrome
0xb9c528@mhfdat-jp.bin,レッドオイル,Red Oil
0xb9c52c@mhfdat-jp.bin,パワーラード,Power Lard
0xb9c530@mhfdat-jp.bin,長寿ジャム,Lifejam
0xb9c534@mhfdat-jp.bin,ドライマーガリン,Dry Margarine
0xb9c538@mhfdat-jp.bin,猛牛バター,Maengwoo Butter
