location,source,target
0x938a60@mhfdat-jp.bin,装備無し,Nothing Equipped
0x938a64@mhfdat-jp.bin,アイアンソード,Iron Sword
0x938a68@mhfdat-jp.bin,アイアンソード改,Iron Sword+
0x938a6c@mhfdat-jp.bin,バスターソード,Buster Sword
0x938a70@mhfdat-jp.bin,ソウルオブキャット,Cat's Soul
0x938a74@mhfdat-jp.bin,天下無双刀,Hellish Slasher
0x938a78@mhfdat-jp.bin,バスターブレイド,Buster Blade
0x938a7c@mhfdat-jp.bin,ブルーウィング,Blue Wing
0x938a80@mhfdat-jp.bin,ブレイズブレイド,Ravager Blade
0x938a84@mhfdat-jp.bin,アッパーブレイズ,Lacerator Blade
0x938a88@mhfdat-jp.bin,鉄刀,Iron Katana
0x938a8c@mhfdat-jp.bin,鉄刀【禊】,"Iron Katana ""Grace"""
0x938a90@mhfdat-jp.bin,鉄刀【神楽】,"Iron Katana ""Gospel"""
0x938a94@mhfdat-jp.bin,骨刀【狼牙】,"Bone Katana ""Wolf"""
0x938a98@mhfdat-jp.bin,骨刀【鮫牙】,"Bone Katana ""Shark"""
0x938a9c@mhfdat-jp.bin,骨刀【竜牙】,"Bone Katana ""Dragon"""
0x938aa0@mhfdat-jp.bin,黒刀【零ノ型】,Black Katana Mk.Ⅰ
0x938aa4@mhfdat-jp.bin,黒刀【弐ノ型】,Black Katana Mk.Ⅱ
0x938aa8@mhfdat-jp.bin,ディフェンダー,Defender
0x938aac@mhfdat-jp.bin,飛竜刀【朱】,"Wyvern Blade ""Azure"""
0x938ab0@mhfdat-jp.bin,センチネル,Sentinel
0x938ab4@mhfdat-jp.bin,ハルバード,Halberd
0x938ab8@mhfdat-jp.bin,飛竜刀【青葉】,"Wyvern Blade ""Leaf"""
0x938abc@mhfdat-jp.bin,ジャッジメント,Judgment
0x938ac0@mhfdat-jp.bin,エクスキューション,Execution
0x938ac4@mhfdat-jp.bin,エクスキューション改,Execution+
0x938ac8@mhfdat-jp.bin,ダークサイス,Dark Scythe
0x938acc@mhfdat-jp.bin,ダークトーメント,Dark Torment
0x938ad0@mhfdat-jp.bin,ボーンブレイド,Bone Blade
0x938ad4@mhfdat-jp.bin,ボーンブレイド改,Bone Blade+
0x938ad8@mhfdat-jp.bin,アギト,Jawblade
0x938adc@mhfdat-jp.bin,黒刀【参ノ型】,Black Katana Mk.Ⅲ
0x938ae0@mhfdat-jp.bin,リュウノアギト,Wyvern Jawblade
0x938ae4@mhfdat-jp.bin,レッドストライプ,Red Stripe
0x938ae8@mhfdat-jp.bin,ゴーレムブレイド,Golem Blade
0x938aec@mhfdat-jp.bin,ヴァルキリーブレイド,Valkyrie Blade
0x938af0@mhfdat-jp.bin,ジークリンデ,Sigelinde
0x938af4@mhfdat-jp.bin,ドラゴンキラー,Dragon Killer
0x938af8@mhfdat-jp.bin,レッドシザー,Red Scissor
0x938afc@mhfdat-jp.bin,フィンブレイド,Fin Blade
0x938b00@mhfdat-jp.bin,ギザミブレイド,Ceanataur Blade
0x938b04@mhfdat-jp.bin,水剣ガノトトス,Plesioth Watersword
0x938b08@mhfdat-jp.bin,レッドウィング,Red Wing
0x938b0c@mhfdat-jp.bin,炎剣リオレウス,Rath Blaze Sword
0x938b10@mhfdat-jp.bin,凄くさびた大剣,Rusted G-Sword
0x938b14@mhfdat-jp.bin,さびた大剣,Tarnished G-Sword
0x938b18@mhfdat-jp.bin,ブルークロウブレイド,Blue Claw Blade
0x938b1c@mhfdat-jp.bin,エンシェントプレート,Ancient Blade
0x938b20@mhfdat-jp.bin,骨,Bone
0x938b24@mhfdat-jp.bin,龍木ノ太刀,Dragonwood L.Sword
0x938b28@mhfdat-jp.bin,龍刀【焔】,Fire Dragonsword
0x938b2c@mhfdat-jp.bin,龍刀【紅蓮】,Red Dragonsword
0x938b30@mhfdat-jp.bin,蛇剣【蒼蛇】,Azure Serpentblade
0x938b34@mhfdat-jp.bin,ダブルブロスソード,Diablos Sword
0x938b38@mhfdat-jp.bin,蛇剣【大蛇】,Vile Serpentblade
0x938b3c@mhfdat-jp.bin,アイアンハンマー,Iron Hammer
0x938b40@mhfdat-jp.bin,アイアンハンマー改,Iron Hammer+
0x938b44@mhfdat-jp.bin,ウォーハンマー,War Hammer
0x938b48@mhfdat-jp.bin,溶解鎚,Torment Hammer
0x938b4c@mhfdat-jp.bin,ウォーメイス,War Mace
0x938b50@mhfdat-jp.bin,アイアンストライク,Iron Striker
0x938b54@mhfdat-jp.bin,ブルヘッドハンマー,Blue Head Hammer
0x938b58@mhfdat-jp.bin,ツインブロスハンマー,Twin Blos Hammer
0x938b5c@mhfdat-jp.bin,アイアンインパクト,Iron Impact
0x938b60@mhfdat-jp.bin,スパイクハンマー,Spike Hammer
0x938b64@mhfdat-jp.bin,スパイクハンマー改,Spike Hammer+
0x938b68@mhfdat-jp.bin,クリスタルロック,Crystal Hammer
0x938b6c@mhfdat-jp.bin,クリスタルノヴァ,Crystal Nova
0x938b70@mhfdat-jp.bin,アンヴィルハンマー,Anvil Hammer
0x938b74@mhfdat-jp.bin,ヴェノムモンスター,Venom Monster
0x938b78@mhfdat-jp.bin,ボーンアクス,Bone Axe
0x938b7c@mhfdat-jp.bin,ロブスタンプ,Lobstrosity
0x938b80@mhfdat-jp.bin,ブロードボーンアクス,Blood Bone Axe
0x938b84@mhfdat-jp.bin,ギガントハンマー,Gigaton Hammer
0x938b88@mhfdat-jp.bin,イカリハンマーＦ,Anchor Hammer F
0x938b8c@mhfdat-jp.bin,コーンヘッドハンマー,Combat Hammer
0x938b90@mhfdat-jp.bin,スイ【烏】,Raven Torrent
0x938b94@mhfdat-jp.bin,グラビィトンハンマー,Graviton Hammer
0x938b98@mhfdat-jp.bin,ボーンハンマー,Bone Hammer
0x938b9c@mhfdat-jp.bin,ボーンハンマー改,Bone Hammer+
0x938ba0@mhfdat-jp.bin,サイクロプスハンマー,Cyclops Hammer
0x938ba4@mhfdat-jp.bin,龍頭蓋棍,Dragonhead Hammer
0x938ba8@mhfdat-jp.bin,アトラスハンマー,Atlas Hammer
0x938bac@mhfdat-jp.bin,スカルクラッシュ,Skull Crush
0x938bb0@mhfdat-jp.bin,スカルクラッシュ改,Skull Crush+
0x938bb4@mhfdat-jp.bin,クックジョー,Kut-Ku Jaw
0x938bb8@mhfdat-jp.bin,グレートコーン,Great Cone
0x938bbc@mhfdat-jp.bin,ギガントハンマー改,Gigaton Hammer+
0x938bc0@mhfdat-jp.bin,バサルブロウ,Basarios Blow
0x938bc4@mhfdat-jp.bin,ブロステイル,Blos Tail
0x938bc8@mhfdat-jp.bin,ジェイルハンマー,Jail Hammer
0x938bcc@mhfdat-jp.bin,ジェイダイトメイス,Jadeite Mace
0x938bd0@mhfdat-jp.bin,ジェイドメイス,Jade Mace
0x938bd4@mhfdat-jp.bin,工房試作品ガンハンマ,Proto Gun Hammer
0x938bd8@mhfdat-jp.bin,デッドリボルバー,Deadly Revolver
0x938bdc@mhfdat-jp.bin,凄くさびた槌,Rusted Hammer
0x938be0@mhfdat-jp.bin,さびた槌,Tarnished Hammer
0x938be4@mhfdat-jp.bin,鋼氷棍,Steel Ice Hammer
0x938be8@mhfdat-jp.bin,ブレス・コア,Breath Core Hammer
0x938bec@mhfdat-jp.bin,骨塊,Bone Clump
0x938bf0@mhfdat-jp.bin,大骨塊,Lrg Bone Clump
0x938bf4@mhfdat-jp.bin,ドラゴンデストロイ,Dragon Destroyer
0x938bf8@mhfdat-jp.bin,ドラゴンブレイカー,Dragon Breaker
0x938bfc@mhfdat-jp.bin,アイアンランス,Iron Lance
0x938c00@mhfdat-jp.bin,アイアンランス改,Iron Lance+
0x938c04@mhfdat-jp.bin,ナイトランス,Knight Lance
0x938c08@mhfdat-jp.bin,撃竜槍【阿】,Growling Wyvern
0x938c0c@mhfdat-jp.bin,ナイトスクウィード,Knight's Spear
0x938c10@mhfdat-jp.bin,パラディンランス,Paladin Lance
0x938c14@mhfdat-jp.bin,ランパート,Rampart
0x938c18@mhfdat-jp.bin,アイアンガンランス,Iron Gunlance
0x938c1c@mhfdat-jp.bin,バベル,Babel
0x938c20@mhfdat-jp.bin,鬼鉄,Iron Devil
0x938c24@mhfdat-jp.bin,アイアンガンランス改,Iron Gunlance+
0x938c28@mhfdat-jp.bin,討伐隊正式銃槍,Special Ops Gunlance
0x938c2c@mhfdat-jp.bin,ダークランス,Dark Lance
0x938c30@mhfdat-jp.bin,シルバールーク,Silver Rook
0x938c34@mhfdat-jp.bin,ダークスクウィード,Dark Squire
0x938c38@mhfdat-jp.bin,パラライザー,Paralyzer
0x938c3c@mhfdat-jp.bin,トライデント,Trident
0x938c40@mhfdat-jp.bin,ボーンジャベリン,Bone Javelin
0x938c44@mhfdat-jp.bin,ナナ＝ハウル,Luna's Howl
0x938c48@mhfdat-jp.bin,スパイクスピア,Spike Spear
0x938c4c@mhfdat-jp.bin,アクアンスピア,Aqua Spear
0x938c50@mhfdat-jp.bin,ナナ＝ロア,Luna's Roar
0x938c54@mhfdat-jp.bin,シープソングスピア,Lullaby Spear
0x938c58@mhfdat-jp.bin,ホワイトガンランス,White Gunlance
