location,source,target
0x934860@mhfdat-jp.bin,装備無し,Nothing Equipped
0x934864@mhfdat-jp.bin,クロスボウガン,Cross Bowgun
0x934868@mhfdat-jp.bin,クロスボウガン改,Cross Bowgun+
0x93486c@mhfdat-jp.bin,カンタロスガン,Hornet Gun
0x934870@mhfdat-jp.bin,ヴァルキリーファイア,Valkyrie Fire
0x934874@mhfdat-jp.bin,スパルタカスファイア,Spartacus Fire
0x934878@mhfdat-jp.bin,ショットボウガン・蒼,Shotgun (Azure)
0x93487c@mhfdat-jp.bin,ショットボウガン・碧,Shotgun (Green)
0x934880@mhfdat-jp.bin,ショットボウガン・紅,Shotgun (Blood)
0x934884@mhfdat-jp.bin,メイルシュトローム,Maelstrom
0x934888@mhfdat-jp.bin,デザートストーム,Desert Storm
0x93488c@mhfdat-jp.bin,グレネードボウガン,Grenade Launcher
0x934890@mhfdat-jp.bin,タイタングレネード,Titan Launcher
0x934894@mhfdat-jp.bin,アルバレスト,Arbalest
0x934898@mhfdat-jp.bin,アルバレスト改,Arbalest+
0x93489c@mhfdat-jp.bin,タンクメイジ,Tankmage
0x9348a0@mhfdat-jp.bin,ラピッドキャスト,Rapidcaster
0x9348a4@mhfdat-jp.bin,クイックキャスト,Quickcaster
0x9348a8@mhfdat-jp.bin,メテオキャノン,Meteor Cannon
0x9348ac@mhfdat-jp.bin,青イャンクック砲,Blue Kut-Ku Cannon
0x9348b0@mhfdat-jp.bin,カホウ【烏】,Raven Heirloom
0x9348b4@mhfdat-jp.bin,老山龍砲,Lao-Shan Lung Cannon
0x9348b8@mhfdat-jp.bin,インジェクションガン,Injection Gun
0x9348bc@mhfdat-jp.bin,ラストニードル,Last Needle
0x9348c0@mhfdat-jp.bin,鬼ヶ島,Demonlock
0x9348c4@mhfdat-jp.bin,ショットボウガン・白,Shotgun (White)
0x9348c8@mhfdat-jp.bin,グラビモスロア,Gravios Roar
0x9348cc@mhfdat-jp.bin,超イャンクック砲,Mega Kut-Ku Cannon
0x9348d0@mhfdat-jp.bin,Ｓ・クロスボウガン,S.Cross Bowgun
0x9348d4@mhfdat-jp.bin,ハートヴァルキリー,Valkyrie Heart
0x9348d8@mhfdat-jp.bin,ヴァルキリーブレイズ,Valkyrie Blaze
0x9348dc@mhfdat-jp.bin,ハートヴァルキリー改,Valkyrie Heart+
0x9348e0@mhfdat-jp.bin,ゴールドヴァルキリー,Gold Valkyrie
0x9348e4@mhfdat-jp.bin,ソウルスパルタカス,Spartacus Soul
0x9348e8@mhfdat-jp.bin,スパルタカスブレイズ,Spartacus Blaze
0x9348ec@mhfdat-jp.bin,ソウルスパルタカス改,Spartacus Soul+
0x9348f0@mhfdat-jp.bin,シルバースパルタカス,Silver Spartacus
0x9348f4@mhfdat-jp.bin,紅碧の対弩,Crimson Blue
0x9348f8@mhfdat-jp.bin,蒼桜の対弩,Azure Sakura
0x9348fc@mhfdat-jp.bin,ウラノスグレネード,Uranos Grenade
0x934900@mhfdat-jp.bin,蒼桜の対弩・覇,Supreme Azure Sakura
0x934904@mhfdat-jp.bin,繚乱の対弩,Profusion
0x934908@mhfdat-jp.bin,バレットシャワー・蒼,Aqua Blade Shower
0x93490c@mhfdat-jp.bin,バレットシャワー・碧,Green Blade Shower
0x934910@mhfdat-jp.bin,バレットシャワー・紅,Crimson Blade Shower
0x934914@mhfdat-jp.bin,レインバレッツ・白,Bullet Storm
0x934918@mhfdat-jp.bin,メイルシュトローム改,Maelstrom+
0x93491c@mhfdat-jp.bin,サンドフォール,Sandfall
0x934920@mhfdat-jp.bin,デザートテンペスト,Desert Tempest
0x934924@mhfdat-jp.bin,サンドフォール改,Sandfall+
0x934928@mhfdat-jp.bin,グレネードボウガン改,Grenade Launcher+
0x93492c@mhfdat-jp.bin,タイタングレネード改,Titan Launcher+
0x934930@mhfdat-jp.bin,クロノスグレネード,Chronos Grenade
0x934934@mhfdat-jp.bin,クックアンガー,Kut-Ku Anger
0x934938@mhfdat-jp.bin,クックレイジ,Kut-Ku Rage
0x93493c@mhfdat-jp.bin,クロオビボウガン,Black Belt Bowgun
0x934940@mhfdat-jp.bin,タツジンボウガン,Expert Bowgun
0x934944@mhfdat-jp.bin,神ヶ島,Island of the Gods
0x934948@mhfdat-jp.bin,ダークフリルパラソル,Dark Parasol
0x93494c@mhfdat-jp.bin,パールフリルパラソル,Angel Parasol
0x934950@mhfdat-jp.bin,ピンクフリルパラソル,Sakura Parasol
0x934954@mhfdat-jp.bin,Ｓ・アルバレスト,S.Arbalest
0x934958@mhfdat-jp.bin,タンクメイジ改,Tankmage+
0x93495c@mhfdat-jp.bin,バストンメイジ,Bastionmage
0x934960@mhfdat-jp.bin,クイックキャスト改,Quickcaster+
0x934964@mhfdat-jp.bin,デュエルキャスト,Duelcaster
0x934968@mhfdat-jp.bin,デュエルキャスト改,Duelcaster+
0x93496c@mhfdat-jp.bin,モノデビルキャスト,Monodevilcaster
0x934970@mhfdat-jp.bin,モノデビルキャスト改,Monodevilcaster+
0x934974@mhfdat-jp.bin,メテオバスター,Meteor Buster
0x934978@mhfdat-jp.bin,ヴォルキャノン,Vor Cannon
0x93497c@mhfdat-jp.bin,ディスティハーダ,Destiny's Hand
0x934980@mhfdat-jp.bin,イャンクック砲,Mega Kut-Ku Cannon
0x934984@mhfdat-jp.bin,老山龍砲・覇,Supreme Lao-Shan Cannon
0x934988@mhfdat-jp.bin,老山龍砲・皇,Emperor Lao-Shan Cannon
0x93498c@mhfdat-jp.bin,ハニーコーマー,Honeycomber
0x934990@mhfdat-jp.bin,グラビモスハウル,Gravios Howl
0x934994@mhfdat-jp.bin,三眼の獅子筒,Golden Lion
0x934998@mhfdat-jp.bin,ハンターボウ賕,Hunter Bow III
0x93499c@mhfdat-jp.bin,ワイルドボウ賕,Wild Bow III
0x9349a0@mhfdat-jp.bin,パワーワイルドボウ賖,Power Wild Bow II
0x9349a4@mhfdat-jp.bin,クイーンブラスター賖,Queen Blaster II
0x9349a8@mhfdat-jp.bin,ハートショットボウ賖,Heart Shot Bow II
