index,source,target
0,ダミー,Dummy
1,発動可能クエスト回数：5回,Time to Use: 5 Times
2,発動可能クエスト回数：10回,Time to Use: 10 Times
3,発動可能クエスト回数：20回,Time to Use: 20 Times
4,反動：-1/装填速度：-1,Recoil: -1/Reload: -1
5,反動：-1/装填速度：-1,Recoil: -1/Reload: -1
6,反動：-2/装填速度：-2,Recoil: -2/Reload: -2
7,反動：-3/装填速度：-2,Recoil: -3/Reload: -2
8,反動：-3/装填速度：-3,Recoil: -3/Reload: -3
9,反動：-4/装填速度：-3,Recoil: -4/Reload: -3
10,反動：-4/装填速度：-4,Recoil: -4/Reload: -4
11,斬属性以外でも尻尾切断可能,You can cut a tail with every weapon
12,回復速度：中,Regeneration: Mid
13,回復速度：速,Regeneration: Fast
14,怯ませやすさ：微,Scared: Weak
15,怯ませやすさ：小,Scared: Low
16,怯ませやすさ：中,Scared: Mid
17,怯ませやすさ：大,Scared: High
18,怯ませやすさ：微,Scared: Weak
19,怯ませやすさ：小,Scared: Low
20,怯ませやすさ：中,Scared: Mid
21,怯ませやすさ：大,Scared: High
22,怯ませやすさ：微,Scared: Weak
23,怯ませやすさ：小,Scared: Low
24,怯ませやすさ：中,Scared: Mid
25,怯ませやすさ：大,Scared: High
26,ダメージ増加：小,Damages Increase: Low
27,ダメージ増加：中,Damages Increase: Mid
28,ダメージ増加：大,Damages Increase: High
29,ダメージ増加：小,Damages Increase: Low
30,ダメージ増加：中,Damages Increase: Mid
31,ダメージ増加：大,Damages Increase: High
32,ダメージ増加：小,Damages Increase: Low
33,ダメージ増加：中,Damages Increase: Mid
34,ダメージ増加：大,Damages Increase: High
35,持続時間延長：小,Duration UP: Low
36,持続時間延長：中,Duration UP: Mid
37,持続時間延長：大,Duration UP: High
38,耐性低下：小,Parts Weaken: Low
39,耐性低下：中,Parts Weaken: Mid
40,耐性低下：大,Parts Weaken: High
41,耐性低下：小,Parts Weaken: Low
42,耐性低下：中,Parts Weaken: Mid
43,耐性低下：大,Parts Weaken: High
44,ダメージ増加：小,Damages Increase: Low
45,ダメージ増加：中,Damages Increase: Mid
46,ダメージ増加：大,Damages Increase: High
47,ダメージ増加：小,Damages Increase: Low
48,ダメージ増加：中,Damages Increase: Mid
49,ダメージ増加：大,Damages Increase: High
50,時間経過によるエリア移動無効,Area Lock
51,交換品目追加：レベル1,Commercial Exchanges: Lv1
52,交換品目追加：レベル2,Commercial Exchanges: Lv2
53,交換品目追加：レベル3,Commercial Exchanges: Lv3
54,攻撃力上昇：小,Attack UP: Low
55,攻撃力上昇：中,Attack UP: Mid
56,攻撃力上昇：大,Attack UP: High
57,「女神の赦し」,Diva's Apologies
58,「女神の抱擁」,Diva's Blessing
59,「女神の抱擁」＋力尽きるのを1度回避,Diva's Blessing + Attack Down Negates
60,会心率上昇：小,Affinity UP: Low
61,会心率上昇：中,Affinity UP: Mid
62,会心率上昇：大,Affinity UP: High
63,火耐性上昇：小,Fire Res: Low
64,火耐性上昇：中,Fire Res: Mid
65,火耐性上昇：大,Fire Res: High
66,水耐性上昇：小,Water Res: Low
67,水耐性上昇：中,Water Res: Mid
68,水耐性上昇：大,Water Res: High
69,氷耐性上昇：小,Ice Res: Low
70,氷耐性上昇：中,Ice Res: Mid
71,氷耐性上昇：大,Ice Res: High
72,雷耐性上昇：小,Thunder Res: Low
73,雷耐性上昇：中,Thunder Res: Mid
74,雷耐性上昇：大,Thunder Res: High
75,龍耐性上昇：小,Dragon Res: Low
76,龍耐性上昇：中,Dragon Res: Mid
77,龍耐性上昇：大,Dragon Res: High
78,全耐性上昇：小,All Res: Low
79,全耐性上昇：大,All Res: High
