index,source,target
0,dummy,
1,"{c05}≪総合ショップ≫
{/c}から入手可能。",
2,"{c05}≪総合ショップ≫
{/c}から入手可能。",
3,"{c05}≪総合ショップ≫
{/c}から入手可能。",
4,"{c05}≪総合ショップ≫
{/c}から入手可能。",
5,"{c05}≪総合ショップ≫
{/c}から入手可能。",
6,"条件達成時に
{c05}≪調合屋≫{/c}
から入手可能。",
7,"{c05}≪総合ショップ≫
{/c}から入手可能。",
8,"{c05}≪調合≫
{/c}することで入手可能。",
9,"{c05}≪総合ショップ≫
{/c}から入手可能。",
10,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",
11,"{c05}≪総合ショップ≫
{/c}から入手可能。",
12,"{c05}≪調合≫
{/c}することで入手可能。",
13,"{c05}≪調合≫
{/c}することで入手可能。",
14,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",
15,"{c05}≪調合≫
{/c}することで入手可能。",
16,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",
17,"{c05}≪調合≫
{/c}することで入手可能。",
18,"{c05}≪調合≫
{/c}することで入手可能。",
19,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",
20,"{c05}≪調合≫
{/c}することで入手可能。",
21,"{c05}≪総合ショップ≫
{/c}から入手可能。",
22,"{c05}≪総合ショップ≫
{/c}から入手可能。",
23,"{c05}≪総合ショップ≫
{/c}から入手可能。",
24,"{c05}≪ＨＲ1〜2≫{/c}の
{c05}≪ランゴスタ≫≪カンタロス≫{/c}や
{c05}≪Ｎポイント交換≫{/c}から入手可能。",
25,"{c05}≪ＨＲ3〜4≫{/c}の
{c05}≪ランゴスタ≫≪カンタロス≫{/c}や
{c05}≪Ｎポイント交換≫{/c}から入手可能。",
26,"{c05}≪調合≫
{/c}することで入手可能。",
27,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",
28,"{c05}≪調合≫{/c}や
{c05}≪Ｎポイント交換≫{/c}
から入手可能。",
29,"{c05}≪調合≫
{/c}することで入手可能。",
30,"{c05}≪調合≫
{/c}することで入手可能。",
31,dummy,
32,"{c05}≪総合ショップ≫
{/c}から入手可能。",
33,"{c05}≪調合≫
{/c}することで入手可能。",
34,"{c05}≪調合≫{/c}することや
{c05}≪ギルド貢献Ｐ交換≫
{/c}から入手可能。",
35,"{c05}≪総合ショップ≫
{/c}から入手可能。",
36,"{c05}≪調合≫
{/c}することで入手可能。",
37,"{c05}≪総合ショップ≫
{/c}から入手可能。",
38,"{c05}≪調合≫
{/c}することで入手可能。",
39,"{c05}≪総合ショップ≫
{/c}から入手可能。",
40,"{c05}≪ＨＲ1〜4≫{/c}の
{c05}≪ブルファンゴ≫≪アプトノス≫
{/c}から入手可能。",
41,"{c05}≪調合≫
{/c}することで入手可能。",
42,"{c05}≪調合≫
{/c}することで入手可能。",
43,"{c05}≪調合≫
{/c}することで入手可能。",
44,"{c05}≪総合ショップ≫
{/c}から入手可能。",
45,"{c05}≪総合ショップ≫
{/c}から入手可能。",
46,"{c05}≪総合ショップ≫
{/c}から入手可能。",
47,"{c05}≪マイガーデン≫{/c}や
{c05}≪クエスト中≫{/c}に{c05}≪肉焼き≫{/c}
することで入手可能。",
48,"{c05}≪マイガーデン≫{/c}や
{c05}≪クエスト中≫{/c}に{c05}≪肉焼き≫{/c}
することで入手可能。",
49,"{c05}≪マイガーデン≫{/c}や
{c05}≪クエスト中≫{/c}に{c05}≪肉焼き≫{/c}
することで入手可能。",
50,"{c05}≪マイガーデン≫{/c}や
{c05}≪クエスト中≫{/c}に{c05}≪肉焼き≫{/c}
することで入手可能。",
51,"{c05}≪調合≫
{/c}することで入手可能。",
52,"{c05}≪調合≫
{/c}することで入手可能。",
53,"{c05}≪調合≫
{/c}することで入手可能。",
54,"{c05}≪調合≫
{/c}することで入手可能。",
55,"{c05}≪調合≫
{/c}することで入手可能。",
56,"{c05}≪調合≫
{/c}することで入手可能。",
57,"{c05}≪よろず焼きセット≫{/c}で
魚を焼くことで入手可能。",
58,"{c05}≪よろず焼きセット≫{/c}で
魚を焼くことで入手可能。",
59,"{c05}≪よろず焼きセット≫{/c}で
魚を焼くことで入手可能。",
60,"{c05}≪よろず焼きセット≫{/c}で
魚を焼くことで入手可能。",
61,"{c05}≪よろず焼きセット≫{/c}で
魚を焼くことで入手可能。",
62,"{c05}≪よろず焼きセット≫{/c}で
魚を焼くことで入手可能。",
