index,source,target
0,"Discard<join at=""1578244"">Give<join at=""1578248"">Swap<join at=""1578252"">Send<join at=""1578256"">Bind F Key",
1,"Discard<join at=""1578264"">{c10}Give<join at=""1578268"">{/c}Swap<join at=""1578272"">Send<join at=""1578276"">Bind F Key",
2,"{c10}Discard<join at=""1578284"">Give<join at=""1578288"">Swap<join at=""1578292"">Send<join at=""1578296"">Bind F Key",
3,"Discard<join at=""1578304"">Give<join at=""1578308"">Swap<join at=""1578312"">Send<join at=""1578316"">{c10}F Key Bind",
4,"Discard<join at=""1578324"">{c10}Give<join at=""1578328"">{/c}Swap<join at=""1578332"">Send<join at=""1578336"">{c10}F Key Bind",
5,"{c10}Discard<join at=""1578344"">Give<join at=""1578348"">Swap<join at=""1578352"">Send<join at=""1578356"">{c10}F Key Bind",
6,"Discard<join at=""1578364"">Give<join at=""1578368"">Swap<join at=""1578372"">{c10}Send{/c}<join at=""1578376"">Bind F Key",
7,"Discard<join at=""1578384"">{c10}Give<join at=""1578388"">{/c}Swap<join at=""1578392"">{c10}Send{/c}<join at=""1578396"">Bind F Key",
8,"{c10}Discard<join at=""1578404"">Give<join at=""1578408"">Swap<join at=""1578412"">{c10}Send{/c}<join at=""1578416"">Bind F Key",
9,"Discard<join at=""1578424"">Give<join at=""1578428"">Swap<join at=""1578432"">{c10}Send{/c}<join at=""1578436"">{c10}F Key Bind",
10,"Discard<join at=""1578444"">{c10}Give<join at=""1578448"">{/c}Swap<join at=""1578452"">{c10}Send{/c}<join at=""1578456"">{c10}F Key Bind",
11,"{c10}Discard<join at=""1578464"">Give<join at=""1578468"">Swap<join at=""1578472"">{c10}Send{/c}<join at=""1578476"">{c10}F Key Bind",
