index,source,target
0,"ON<join at=""1565636"">OFF<join at=""1565640""><join at=""1565644"">",
1,"ON<join at=""1565652"">OFF<join at=""1565656""><join at=""1565660"">",
2,"NORMAL<join at=""1565668"">REVERSE1<join at=""1565672"">REVERSE2<join at=""1565676"">",
3,"<join at=""1565684""><join at=""1565688""><join at=""1565692"">",
4,"NORMAL<join at=""1565700"">REVERSE1<join at=""1565704"">REVERSE2<join at=""1565708"">",
5,"OFF<join at=""1565716"">ON<join at=""1565720""><join at=""1565724"">",
6,"SMALL<join at=""1565732"">MEDIUM<join at=""1565736"">LARGE<join at=""1565740"">",
7,"NAME<join at=""1565748"">ＩＤ<join at=""1565752"">ＲＰ<join at=""1565756"">",
8,"TYPE 1<join at=""1565764"">TYPE 2<join at=""1565768""><join at=""1565772"">",
9,"ON<join at=""1565780"">OFF<join at=""1565784""><join at=""1565788"">",
10,"ON<join at=""1565796"">OFF<join at=""1565800""><join at=""1565804"">",
11,"TYPE 1<join at=""1565812"">TYPE 2<join at=""1565816""><join at=""1565820"">",
12,"<join at=""1565828""><join at=""1565832""><join at=""1565836"">",
13,"<join at=""1565844""><join at=""1565848""><join at=""1565852"">",
14,"Low<join at=""1565860"">Medium<join at=""1565864"">High<join at=""1565868"">",
15,"OFF<join at=""1565876"">ON<join at=""1565880""><join at=""1565884"">",
16,"Minimum<join at=""1565892"">Variable<join at=""1565896""><join at=""1565900"">",
17,"OFF<join at=""1565908"">OFF<join at=""1565912"">Anytime<join at=""1565916"">Regular",
18,"OFF<join at=""1565924"">ON<join at=""1565928""><join at=""1565932"">",
19,"<join at=""1565940""><join at=""1565944""><join at=""1565948"">",
20,"OFF<join at=""1565956""><join at=""1565960""><join at=""1565964"">",
21,"OFF<join at=""1565972""><join at=""1565976""><join at=""1565980"">",
22,"Large<join at=""1565988"">Medium<join at=""1565992"">Small<join at=""1565996"">Auto",
23,"Variable<join at=""1566004"">Fixed<join at=""1566008""><join at=""1566012"">",
24,"ON<join at=""1566020"">OFF<join at=""1566024""><join at=""1566028"">",
25,"ON<join at=""1566036"">OFF<join at=""1566040""><join at=""1566044"">",
26,"ON<join at=""1566052"">OFF<join at=""1566056""><join at=""1566060"">",
27,"TYPE 1<join at=""1566068"">TYPE 2<join at=""1566072""><join at=""1566076"">",
28,"ON<join at=""1566084"">OFF<join at=""1566088""><join at=""1566092"">",
29,"Context<join at=""1566100"">Icons<join at=""1566104""><join at=""1566108"">",
30,"KEYBOARD<join at=""1566116"">PAD<join at=""1566120"">KEY/PAD<join at=""1566124"">",
31,"OFF<join at=""1566132"">ON<join at=""1566136""><join at=""1566140"">",
32,"OFF<join at=""1566148"">ON<join at=""1566152""><join at=""1566156"">",
33,"OFF<join at=""1566164"">ON<join at=""1566168""><join at=""1566172"">",
34,"<join at=""1566180""><join at=""1566184""><join at=""1566188"">",
35,"<join at=""1566196""><join at=""1566200""><join at=""1566204"">",
36,"NORMAL<join at=""1566212"">REVERSE1<join at=""1566216"">REVERSE2<join at=""1566220"">",
37,"<join at=""1566228""><join at=""1566232""><join at=""1566236"">",
38,"OFF<join at=""1566244"">ON<join at=""1566248""><join at=""1566252"">",
39,"OFF<join at=""1566260"">ON<join at=""1566264""><join at=""1566268"">",
40,"OFF<join at=""1566276"">ON<join at=""1566280""><join at=""1566284"">",
41,"OFF<join at=""1566292"">Everyone<join at=""1566296"">Others<join at=""1566300"">Yourself",
42,"TYPE 1<join at=""1566308"">TYPE 2<join at=""1566312""><join at=""1566316"">",
43,"TYPE 1<join at=""1566324"">TYPE 2<join at=""1566328""><join at=""1566332"">",
44,"ON<join at=""1566340"">OFF<join at=""1566344""><join at=""1566348"">",
45,"ON<join at=""1566356"">OFF<join at=""1566360""><join at=""1566364"">",
46,"ON<join at=""1566372"">OFF<join at=""1566376""><join at=""1566380"">",
47,"<join at=""1566388""><join at=""1566392""><join at=""1566396"">",
48,"ON<join at=""1566404"">OFF<join at=""1566408""><join at=""1566412"">",
49,"OFF<join at=""1566420"">ON<join at=""1566424""><join at=""1566428"">",
50,"OFF<join at=""1566436"">ON<join at=""1566440""><join at=""1566444"">",
51,"OFF<join at=""1566452"">ON<join at=""1566456""><join at=""1566460"">",
52,"OFF<join at=""1566468"">ON<join at=""1566472""><join at=""1566476"">",
53,"<join at=""1566484""><join at=""1566488""><join at=""1566492"">",
54,"<join at=""1566500""><join at=""1566504""><join at=""1566508"">",
55,"<join at=""1566516""><join at=""1566520""><join at=""1566524"">",
56,"<join at=""1566532""><join at=""1566536""><join at=""1566540"">",
57,"ON<join at=""1566548"">OFF<join at=""1566552""><join at=""1566556"">",
58,"<join at=""1566564""><join at=""1566568""><join at=""1566572"">",
59,"OFF<join at=""1566580"">TYPE 1<join at=""1566584"">TYPE 2<join at=""1566588"">TYPE 3",
60,"Name<join at=""1566596"">Player ID<join at=""1566600""><join at=""1566604"">",
61,"<join at=""1566612""><join at=""1566616""><join at=""1566620"">",
62,"ON<join at=""1566628"">OFF<join at=""1566632""><join at=""1566636"">",
63,"ON<join at=""1566644"">OFF<join at=""1566648""><join at=""1566652"">",
64,"ON<join at=""1566660"">OFF<join at=""1566664""><join at=""1566668"">",
65,"ON<join at=""1566676"">OFF<join at=""1566680""><join at=""1566684"">",
66,"<join at=""1566692""><join at=""1566696""><join at=""1566700"">",
67,"<join at=""1566708""><join at=""1566712""><join at=""1566716"">",
68,"ON<join at=""1566724"">OFF<join at=""1566728""><join at=""1566732"">",
69,"ON<join at=""1566740"">OFF<join at=""1566744""><join at=""1566748"">",
70,"OFF<join at=""1566756"">TYPE 1<join at=""1566760"">TYPE 2<join at=""1566764"">",
71,"OFF<join at=""1566772"">ON<join at=""1566776""><join at=""1566780"">",
72,"OFF<join at=""1566788"">ON<join at=""1566792""><join at=""1566796"">",
