index,source,target
0,"うむ。ではゆくがよい！気高き狩人よ。
お主がもたらしてくれるであろう吉報を楽しみにしておるぞ。",
1,まず、お主の眼前にそびえ立つ巨大な建造物…これが{c05}≪天廊≫{/c}じゃ。,
2,"その文献によれば、
古代人は天まで届く建造物を建てたという。
しかし、古代人がなぜその建造物を建てたのか
その理由までは文献は語っておらぬ。",
3,"おお、お主か。
遠路はるばるご苦労じゃった。つもる話も山々
じゃが、早速、本題に入らせてくれい。",
4,"うむ。ではゆくがよい！気高き狩人よ。
お主がもたらしてくれるであろう吉報を楽しみにしておるぞ。",
5,"うむ。ではゆくがよい！気高き狩人よ。
お主がもたらしてくれるであろう吉報を楽しみにしておるぞ。",
6,お主には、これからこの天廊の調査に加わってもらう。内部を探索し、誰が、いつ、どんな目的で天廊を建てたのか、その謎を解明してくれい。,
7,うむ？それを明らかにしてどうするのかじゃと？ホッホッホ…！いい質問じゃな。,
8,"実は、この天廊が古代人の遺構ではないかと
わしは推測しておる。
天廊について調べていたところ、ある古の文献の中にそのことを示唆する記述を見つけたのじゃ。",
9,また、その後の古代人の足跡も謎に包まれたままじゃ。じゃが、もしこやつがその建造物ならば、それらの謎を解く痕跡が残っているに違いない。,
10,そこで、まずは天廊そのものを調査し、これがかの建造物かを確かめることにしたというわけなのじゃ。納得いただけたかの？,
11,"さあ、ゆくのじゃ！気高き狩人よ！
ゆくゆくはお主の活躍で、調査が進展することを期待しておるぞ！",
12,"Oh, it's you. Is the survey going well?
I am very much looking forward to the good
tidings you will bring.",
